ParentIndividualID,ParentProjectEntityID,ParentRole,ParentSex,ParentGeneration,ChildIndividualID,ChildProjectEntityID,ChildGeneration,EdgeEvidenceClass,IncludedInTierA,IncludedInTierB,ForcedCompletionEdge,EdgeBootstrapFraction,EdgeAlternatives95,ChildReportedParentCount,ChildExactPairStableAtTierA,ChildExactPairStableAtTierB,ChildEvidenceStatus,ChildEvidenceTier,ParentCountMAPState,ParentCountStable,RawTwoParentVsReducedLoglik,Caveat
fTroAst11,2021cicX13611458,father,M,F1,fTroAst6,2021cicX13179004,F2,Leading_hypothesis_below_Tier_B,False,False,False,0.456,fTroAst18:0.456;fTroAst11:0.318;fTroAst49:0.107;fTroAst25:0.089,2,False,False,two_parent__E_competing_parental_hypotheses,C_not_yet_defined,two_parent,True,-674648.451844906,"T08 child painting is a correlated cross-check, not an independent likelihood. Invariant calls agree across the individual and selected soft-prevalence models, marker densities, leave-one-chromosome analyses, model sensitivities, and the painted-child transmission cross-check."
fTroAst12,2021cicX13611466,mother,F,F1,fTroAst6,2021cicX13179004,F2,Leading_hypothesis_below_Tier_B,False,False,False,0.6325,fTroAst12:0.633;fTroAst38:0.366,2,False,False,two_parent__E_competing_parental_hypotheses,C_not_yet_defined,two_parent,True,-674648.451844906,"T08 child painting is a correlated cross-check, not an independent likelihood. Invariant calls agree across the individual and selected soft-prevalence models, marker densities, leave-one-chromosome analyses, model sensitivities, and the painted-child transmission cross-check."
fTroAst25,2021cicX13611460,father,M,F1,fTroAst7,2021cicX13179005,F2,Leading_hypothesis_below_Tier_B,False,False,False,0.396,fTroAst25:0.396;fTroAst31:0.197;fTroAst18:0.178;fTroAst11:0.142;fTroAst49:0.050,2,False,False,two_parent__E_competing_parental_hypotheses,B_one_parent_identity,two_parent,True,-761132.6934228218,"T08 child painting is a correlated cross-check, not an independent likelihood. Invariant calls agree across the individual and selected soft-prevalence models, marker densities, leave-one-chromosome analyses, model sensitivities, and the painted-child transmission cross-check."
fTroAst38,2021cicX13611470,mother,F,F1,fTroAst7,2021cicX13179005,F2,Tier_B_additional_identity,False,True,False,0.5975,fTroAst38:0.598;fTroAst12:0.403,2,False,False,two_parent__E_competing_parental_hypotheses,B_one_parent_identity,two_parent,True,-761132.6934228218,"T08 child painting is a correlated cross-check, not an independent likelihood. Invariant calls agree across the individual and selected soft-prevalence models, marker densities, leave-one-chromosome analyses, model sensitivities, and the painted-child transmission cross-check."
fTroAst55,2021cicX13611465,father,M,F1,fTroAst8,2021cicX13179006,F2,Tier_B_additional_identity,False,True,False,0.5465,fTroAst55:0.546;fTroAst43:0.240;fTroAst31:0.145;fTroAst49:0.068,2,False,True,two_parent__C_mother_stable_father_ambiguous,B_exact_pair,two_parent,True,-919548.165778853,"T08 child painting is a correlated cross-check, not an independent likelihood. Invariant calls agree across the individual and selected soft-prevalence models, marker densities, leave-one-chromosome analyses, model sensitivities, and the painted-child transmission cross-check."
fTroAst38,2021cicX13611470,mother,F,F1,fTroAst8,2021cicX13179006,F2,Tier_A_strict_identity,True,True,False,0.778,fTroAst38:0.778;fTroAst12:0.221,2,False,True,two_parent__C_mother_stable_father_ambiguous,B_exact_pair,two_parent,True,-919548.165778853,"T08 child painting is a correlated cross-check, not an independent likelihood. Invariant calls agree across the individual and selected soft-prevalence models, marker densities, leave-one-chromosome analyses, model sensitivities, and the painted-child transmission cross-check."
fTroAst18,2021cicX13611459,father,M,F1,fTroAst10,2021cicX13179007,F2,Tier_A_strict_identity,True,True,False,0.7065,fTroAst18:0.707;fTroAst11:0.227;fTroAst25:0.067,2,True,True,two_parent__A_exact_multigeneration_stable,A_exact_pair,two_parent,True,-437954.0558803952,"T08 child painting is a correlated cross-check, not an independent likelihood. Invariant calls agree across the individual and selected soft-prevalence models, marker densities, leave-one-chromosome analyses, model sensitivities, and the painted-child transmission cross-check."
fTroAst26,2021cicX13611468,mother,F,F1,fTroAst10,2021cicX13179007,F2,Tier_A_strict_identity,True,True,False,0.9995,fTroAst26:1.000,2,True,True,two_parent__A_exact_multigeneration_stable,A_exact_pair,two_parent,True,-437954.0558803952,"T08 child painting is a correlated cross-check, not an independent likelihood. Invariant calls agree across the individual and selected soft-prevalence models, marker densities, leave-one-chromosome analyses, model sensitivities, and the painted-child transmission cross-check."
fTroAst25,2021cicX13611460,father,M,F1,fTroAst13,2021cicX13611474,F2,Tier_B_additional_identity,False,True,False,0.5225,fTroAst25:0.523;fTroAst11:0.364;fTroAst18:0.079,2,False,True,two_parent__C_mother_stable_father_ambiguous,B_exact_pair,two_parent,True,-581071.6491602454,"T08 child painting is a correlated cross-check, not an independent likelihood. Invariant calls agree across the individual and selected soft-prevalence models, marker densities, leave-one-chromosome analyses, model sensitivities, and the painted-child transmission cross-check."
fTroAst12,2021cicX13611466,mother,F,F1,fTroAst13,2021cicX13611474,F2,Tier_A_strict_identity,True,True,False,0.9995,fTroAst12:1.000,2,False,True,two_parent__C_mother_stable_father_ambiguous,B_exact_pair,two_parent,True,-581071.6491602454,"T08 child painting is a correlated cross-check, not an independent likelihood. Invariant calls agree across the individual and selected soft-prevalence models, marker densities, leave-one-chromosome analyses, model sensitivities, and the painted-child transmission cross-check."
fTroAst18,2021cicX13611459,father,M,F1,fTroAst20,2021cicX13611475,F2,Tier_B_additional_identity,False,True,False,0.5325,fTroAst18:0.533;fTroAst11:0.289;fTroAst25:0.157,2,False,True,two_parent__C_mother_stable_father_ambiguous,B_exact_pair,two_parent,True,-576735.1652147374,"T08 child painting is a correlated cross-check, not an independent likelihood. Invariant calls agree across the individual and selected soft-prevalence models, marker densities, leave-one-chromosome analyses, model sensitivities, and the painted-child transmission cross-check."
fTroAst26,2021cicX13611468,mother,F,F1,fTroAst20,2021cicX13611475,F2,Tier_A_strict_identity,True,True,False,0.9785,fTroAst26:0.979,2,False,True,two_parent__C_mother_stable_father_ambiguous,B_exact_pair,two_parent,True,-576735.1652147374,"T08 child painting is a correlated cross-check, not an independent likelihood. Invariant calls agree across the individual and selected soft-prevalence models, marker densities, leave-one-chromosome analyses, model sensitivities, and the painted-child transmission cross-check."
fTroAst11,2021cicX13611458,father,M,F1,fTroAst27,2021cicX13611476,F2,Tier_B_additional_identity,False,True,False,0.6065,fTroAst11:0.607;fTroAst18:0.237;fTroAst25:0.151,2,False,True,two_parent__C_mother_stable_father_ambiguous,B_exact_pair,two_parent,True,-493451.0530224065,"T08 child painting is a correlated cross-check, not an independent likelihood. Invariant calls agree across the individual and selected soft-prevalence models, marker densities, leave-one-chromosome analyses, model sensitivities, and the painted-child transmission cross-check."
fTroAst19,2021cicX13611467,mother,F,F1,fTroAst27,2021cicX13611476,F2,Tier_A_strict_identity,True,True,False,0.9975,fTroAst19:0.998,2,False,True,two_parent__C_mother_stable_father_ambiguous,B_exact_pair,two_parent,True,-493451.0530224065,"T08 child painting is a correlated cross-check, not an independent likelihood. Invariant calls agree across the individual and selected soft-prevalence models, marker densities, leave-one-chromosome analyses, model sensitivities, and the painted-child transmission cross-check."
fTroAst49,2021cicX13611464,father,M,F1,fTroAst33,2021cicX13611477,F2,Tier_A_strict_identity,True,True,False,0.6675,fTroAst49:0.667;fTroAst55:0.175;fTroAst31:0.065;fTroAst43:0.050,2,True,True,two_parent__A_exact_multigeneration_stable,A_exact_pair,two_parent,True,-589220.3452053522,"T08 child painting is a correlated cross-check, not an independent likelihood. Invariant calls agree across the individual and selected soft-prevalence models, marker densities, leave-one-chromosome analyses, model sensitivities, and the painted-child transmission cross-check."
fTroAst12,2021cicX13611466,mother,F,F1,fTroAst33,2021cicX13611477,F2,Tier_A_strict_identity,True,True,False,0.7665,fTroAst12:0.766;fTroAst38:0.191,2,True,True,two_parent__A_exact_multigeneration_stable,A_exact_pair,two_parent,True,-589220.3452053522,"T08 child painting is a correlated cross-check, not an independent likelihood. Invariant calls agree across the individual and selected soft-prevalence models, marker densities, leave-one-chromosome analyses, model sensitivities, and the painted-child transmission cross-check."
fTroAst49,2021cicX13611464,father,M,F1,fTroAst39,2021cicX13611478,F2,Forced_completion_uncertain,False,False,True,0.3845,fTroAst49:0.385;fTroAst18:0.324;fTroAst55:0.227;fTroAst11:0.026,2,False,False,forced_complete_working_hypothesis_uncertain_father,D_forced_completion_not_established,mother_only,False,-830524.7150297305,"Father fTroAst49 is a forced completion conditional on retaining mother fTroAst12 and assuming an observed F1 father exists; it is not established parentage. Conditional support: 55.3% chromosome bootstrap, 6/7 variants, 19/22 LOCO; principal alternative fTroAst18. Original V9 parent-count result remains mother_only (two_parent:0.507;mother_only:0.479)."
fTroAst12,2021cicX13611466,mother,F,F1,fTroAst39,2021cicX13611478,F2,Tier_B_additional_identity,False,True,False,0.9455,fTroAst12:0.946;fTroAst38:0.054,2,False,False,forced_complete_working_hypothesis_uncertain_father,D_forced_completion_not_established,mother_only,False,-830524.7150297305,"T08 child painting is a correlated cross-check, not an independent likelihood. Invariant calls agree across the individual and selected soft-prevalence models, marker densities, leave-one-chromosome analyses, model sensitivities, and the painted-child transmission cross-check. Father fTroAst49 is a forced completion conditional on retaining mother fTroAst12 and assuming an observed F1 father exists; it is not established parentage. Conditional support: 55.3% chromosome bootstrap, 6/7 variants, 19/22 LOCO; principal alternative fTroAst18. Original V9 parent-count result remains mother_only (two_parent:0.507;mother_only:0.479)."
fTroAst18,2021cicX13611459,father,M,F1,fTroAst45,2021cicX13611479,F2,Tier_A_strict_identity,True,True,False,0.635,fTroAst18:0.635;fTroAst11:0.186;fTroAst25:0.129;fTroAst31:0.042,2,True,True,two_parent__A_exact_multigeneration_stable,A_exact_pair,two_parent,True,-547533.6695073424,"T08 child painting is a correlated cross-check, not an independent likelihood. Invariant calls agree across the individual and selected soft-prevalence models, marker densities, leave-one-chromosome analyses, model sensitivities, and the painted-child transmission cross-check."
fTroAst26,2021cicX13611468,mother,F,F1,fTroAst45,2021cicX13611479,F2,Tier_A_strict_identity,True,True,False,0.9565,fTroAst26:0.957,2,True,True,two_parent__A_exact_multigeneration_stable,A_exact_pair,two_parent,True,-547533.6695073424,"T08 child painting is a correlated cross-check, not an independent likelihood. Invariant calls agree across the individual and selected soft-prevalence models, marker densities, leave-one-chromosome analyses, model sensitivities, and the painted-child transmission cross-check."
fTroAst18,2021cicX13611459,father,M,F1,fTroAst51,2021cicX13611480,F2,Tier_A_strict_identity,True,True,False,0.7205,fTroAst18:0.721;fTroAst25:0.111;fTroAst11:0.089;fTroAst37:0.058,2,False,False,B_parent_count_ambiguous_shared_parent_identity_stable,A_one_parent_identity,two_parent,False,-618094.6937922798,"T08 child painting is a correlated cross-check, not an independent likelihood. Invariant calls agree across the individual and selected soft-prevalence models, marker densities, leave-one-chromosome analyses, model sensitivities, and the painted-child transmission cross-check."
fTroAst56,2021cicX13611473,mother,F,F1,fTroAst51,2021cicX13611480,F2,Leading_hypothesis_below_Tier_B,False,False,False,0.3915,fTroAst56:0.392;fTroAst26:0.194;fTroAst44:0.142;fTroAst12:0.104;fTroAst19:0.060;fTroAst32:0.059,2,False,False,B_parent_count_ambiguous_shared_parent_identity_stable,A_one_parent_identity,two_parent,False,-618094.6937922798,"T08 child painting is a correlated cross-check, not an independent likelihood. Invariant calls agree across the individual and selected soft-prevalence models, marker densities, leave-one-chromosome analyses, model sensitivities, and the painted-child transmission cross-check."
fTroAst11,2021cicX13611458,father,M,F1,fTroAst57,2021cicX13611481,F2,Forced_completion_uncertain,False,False,True,0.633,fTroAst11:0.633;fTroAst25:0.322,2,False,False,forced_complete_working_hypothesis_uncertain_father,D_forced_completion_not_established,mother_only,True,-679414.060001852,"Father fTroAst11 is a forced completion conditional on retaining mother fTroAst56 and assuming an observed F1 father exists; it is not established parentage. Conditional support: 59.1% chromosome bootstrap, 6/7 variants, 19/22 LOCO; principal alternative fTroAst25. Original V9 parent-count result remains mother_only (mother_only:0.777;father_only:0.223)."
fTroAst56,2021cicX13611473,mother,F,F1,fTroAst57,2021cicX13611481,F2,Tier_A_strict_identity,True,True,False,0.715,fTroAst56:0.715;fTroAst32:0.104;fTroAst19:0.093;fTroAst50:0.073,2,False,False,forced_complete_working_hypothesis_uncertain_father,D_forced_completion_not_established,mother_only,True,-679414.060001852,"T08 child painting is a correlated cross-check, not an independent likelihood. Invariant calls agree across the individual and selected soft-prevalence models, marker densities, leave-one-chromosome analyses, model sensitivities, and the painted-child transmission cross-check. Father fTroAst11 is a forced completion conditional on retaining mother fTroAst56 and assuming an observed F1 father exists; it is not established parentage. Conditional support: 59.1% chromosome bootstrap, 6/7 variants, 19/22 LOCO; principal alternative fTroAst25. Original V9 parent-count result remains mother_only (mother_only:0.777;father_only:0.223)."
fTroAst18,2021cicX13611459,father,M,F1,fTroAst14,2021cicX13611482,F2,Tier_B_additional_identity,False,True,False,0.6525,fTroAst18:0.653;fTroAst11:0.242;fTroAst25:0.106,2,False,False,two_parent__E_competing_parental_hypotheses,B_both_parent_identities_pair_ambiguous,two_parent,True,-658940.6942948205,"T08 child painting is a correlated cross-check, not an independent likelihood. Invariant calls agree across the individual and selected soft-prevalence models, marker densities, leave-one-chromosome analyses, model sensitivities, and the painted-child transmission cross-check."
fTroAst12,2021cicX13611466,mother,F,F1,fTroAst14,2021cicX13611482,F2,Tier_B_additional_identity,False,True,False,0.5685,fTroAst12:0.569;fTroAst38:0.428,2,False,False,two_parent__E_competing_parental_hypotheses,B_both_parent_identities_pair_ambiguous,two_parent,True,-658940.6942948205,"T08 child painting is a correlated cross-check, not an independent likelihood. Invariant calls agree across the individual and selected soft-prevalence models, marker densities, leave-one-chromosome analyses, model sensitivities, and the painted-child transmission cross-check."
fTroAst11,2021cicX13611458,father,M,F1,fTroAst21,2021cicX13611483,F2,Tier_A_strict_identity,True,True,False,0.591,fTroAst11:0.591;fTroAst25:0.289;fTroAst43:0.054;fTroAst37:0.047,2,False,False,two_parent__C_father_stable_mother_ambiguous,A_one_parent_identity,two_parent,True,-649168.3221733938,"T08 child painting is a correlated cross-check, not an independent likelihood. Invariant calls agree across the individual and selected soft-prevalence models, marker densities, leave-one-chromosome analyses, model sensitivities, and the painted-child transmission cross-check."
fTroAst56,2021cicX13611473,mother,F,F1,fTroAst21,2021cicX13611483,F2,Leading_hypothesis_below_Tier_B,False,False,False,0.483,fTroAst56:0.483;fTroAst32:0.231;fTroAst19:0.183;fTroAst44:0.057,2,False,False,two_parent__C_father_stable_mother_ambiguous,A_one_parent_identity,two_parent,True,-649168.3221733938,"T08 child painting is a correlated cross-check, not an independent likelihood. Invariant calls agree across the individual and selected soft-prevalence models, marker densities, leave-one-chromosome analyses, model sensitivities, and the painted-child transmission cross-check."
fTroAst49,2021cicX13611464,father,M,F1,fTroAst28,2021cicX13611484,F2,Leading_hypothesis_below_Tier_B,False,False,False,0.7035,fTroAst49:0.704;fTroAst18:0.108;fTroAst25:0.085;fTroAst31:0.069,2,False,False,B_parent_count_ambiguous_shared_parent_identity_stable,A_one_parent_identity,two_parent,False,-796795.7712214398,"T08 child painting is a correlated cross-check, not an independent likelihood. Invariant calls agree across the individual and selected soft-prevalence models, marker densities, leave-one-chromosome analyses, model sensitivities, and the painted-child transmission cross-check."
fTroAst12,2021cicX13611466,mother,F,F1,fTroAst28,2021cicX13611484,F2,Tier_A_strict_identity,True,True,False,0.821,fTroAst12:0.821;fTroAst38:0.172,2,False,False,B_parent_count_ambiguous_shared_parent_identity_stable,A_one_parent_identity,two_parent,False,-796795.7712214398,"T08 child painting is a correlated cross-check, not an independent likelihood. Invariant calls agree across the individual and selected soft-prevalence models, marker densities, leave-one-chromosome analyses, model sensitivities, and the painted-child transmission cross-check."
fTroAst11,2021cicX13611458,father,M,F1,fTroAst34,2021cicX13611485,F2,Tier_A_strict_identity,True,True,False,0.64,fTroAst11:0.640;fTroAst25:0.172;fTroAst18:0.107;fTroAst37:0.079,2,False,False,two_parent__C_father_stable_mother_ambiguous,A_one_parent_identity,two_parent,True,-804427.1162257944,"T08 child painting is a correlated cross-check, not an independent likelihood. Invariant calls agree across the individual and selected soft-prevalence models, marker densities, leave-one-chromosome analyses, model sensitivities, and the painted-child transmission cross-check."
fTroAst26,2021cicX13611468,mother,F,F1,fTroAst34,2021cicX13611485,F2,Leading_hypothesis_below_Tier_B,False,False,False,0.3235,fTroAst26:0.324;fTroAst19:0.298;fTroAst56:0.195;fTroAst32:0.071;fTroAst38:0.046;fTroAst12:0.032,2,False,False,two_parent__C_father_stable_mother_ambiguous,A_one_parent_identity,two_parent,True,-804427.1162257944,"T08 child painting is a correlated cross-check, not an independent likelihood. Invariant calls agree across the individual and selected soft-prevalence models, marker densities, leave-one-chromosome analyses, model sensitivities, and the painted-child transmission cross-check."
fTroAst55,2021cicX13611465,father,M,F1,fTroAst40,2021cicX13611486,F2,Leading_hypothesis_below_Tier_B,False,False,False,0.355,fTroAst25:0.355;fTroAst55:0.270;fTroAst43:0.211;fTroAst31:0.070;fTroAst11:0.048,2,False,False,U_parent_count_or_identity_unresolved,B_one_parent_identity,two_parent,False,-586298.8552082377,"T08 child painting is a correlated cross-check, not an independent likelihood. Invariant calls agree across the individual and selected soft-prevalence models, marker densities, leave-one-chromosome analyses, model sensitivities, and the painted-child transmission cross-check."
fTroAst38,2021cicX13611470,mother,F,F1,fTroAst40,2021cicX13611486,F2,Tier_B_additional_identity,False,True,False,0.5715,fTroAst38:0.572;fTroAst12:0.417,2,False,False,U_parent_count_or_identity_unresolved,B_one_parent_identity,two_parent,False,-586298.8552082377,"T08 child painting is a correlated cross-check, not an independent likelihood. Invariant calls agree across the individual and selected soft-prevalence models, marker densities, leave-one-chromosome analyses, model sensitivities, and the painted-child transmission cross-check."
fTroAst43,2021cicX13611463,father,M,F1,fTroAst46,2021cicX13611487,F2,Leading_hypothesis_below_Tier_B,False,False,False,0.3895,fTroAst43:0.390;fTroAst25:0.312;fTroAst31:0.115;fTroAst18:0.078;fTroAst11:0.049;fTroAst49:0.034,2,False,False,U_parent_count_or_identity_unresolved,C_not_yet_defined,two_parent,False,-807590.9280460072,"T08 child painting is a correlated cross-check, not an independent likelihood. Invariant calls agree across the individual and selected soft-prevalence models, marker densities, leave-one-chromosome analyses, model sensitivities, and the painted-child transmission cross-check."
fTroAst38,2021cicX13611470,mother,F,F1,fTroAst46,2021cicX13611487,F2,Leading_hypothesis_below_Tier_B,False,False,False,0.6025,fTroAst12:0.603;fTroAst38:0.392,2,False,False,U_parent_count_or_identity_unresolved,C_not_yet_defined,two_parent,False,-807590.9280460072,"T08 child painting is a correlated cross-check, not an independent likelihood. Invariant calls agree across the individual and selected soft-prevalence models, marker densities, leave-one-chromosome analyses, model sensitivities, and the painted-child transmission cross-check."
fTroAst25,2021cicX13611460,father,M,F1,fTroAst52,2021cicX13611488,F2,Tier_A_strict_identity,True,True,False,0.7615,fTroAst25:0.761;fTroAst31:0.101;fTroAst11:0.079;fTroAst43:0.041,2,False,True,two_parent__C_father_stable_mother_ambiguous,B_exact_pair,two_parent,True,-576597.2833818868,"T08 child painting is a correlated cross-check, not an independent likelihood. Invariant calls agree across the individual and selected soft-prevalence models, marker densities, leave-one-chromosome analyses, model sensitivities, and the painted-child transmission cross-check."
fTroAst12,2021cicX13611466,mother,F,F1,fTroAst52,2021cicX13611488,F2,Tier_B_additional_identity,False,True,False,0.6005,fTroAst12:0.601;fTroAst38:0.380,2,False,True,two_parent__C_father_stable_mother_ambiguous,B_exact_pair,two_parent,True,-576597.2833818868,"T08 child painting is a correlated cross-check, not an independent likelihood. Invariant calls agree across the individual and selected soft-prevalence models, marker densities, leave-one-chromosome analyses, model sensitivities, and the painted-child transmission cross-check."
fTroAst25,2021cicX13611460,father,M,F1,fTroAst58,2021cicX13611489,F2,Forced_completion_uncertain,False,False,True,0.5665,fTroAst25:0.567;fTroAst11:0.270;fTroAst18:0.145,2,False,False,forced_complete_working_hypothesis_uncertain_father,D_forced_completion_not_established,mother_only,True,-663797.9950089045,"Father fTroAst25 is a forced completion conditional on retaining mother fTroAst26 and assuming an observed F1 father exists; it is not established parentage. Conditional support: 56.4% chromosome bootstrap, 7/7 variants, 20/22 LOCO; principal alternative fTroAst11. Original V9 parent-count result remains mother_only (mother_only:1.000)."
fTroAst26,2021cicX13611468,mother,F,F1,fTroAst58,2021cicX13611489,F2,Tier_A_strict_identity,True,True,False,1.0,fTroAst26:1.000,2,False,False,forced_complete_working_hypothesis_uncertain_father,D_forced_completion_not_established,mother_only,True,-663797.9950089045,"T08 child painting is a correlated cross-check, not an independent likelihood. Invariant calls agree across the individual and selected soft-prevalence models, marker densities, leave-one-chromosome analyses, model sensitivities, and the painted-child transmission cross-check. Father fTroAst25 is a forced completion conditional on retaining mother fTroAst26 and assuming an observed F1 father exists; it is not established parentage. Conditional support: 56.4% chromosome bootstrap, 7/7 variants, 20/22 LOCO; principal alternative fTroAst11. Original V9 parent-count result remains mother_only (mother_only:1.000)."
fTroAst11,2021cicX13611458,father,M,F1,fTroAst15,2021cicX13611490,F2,Tier_A_strict_identity,True,True,False,0.9395,fTroAst11:0.940;fTroAst37:0.053,2,True,True,two_parent__A_exact_multigeneration_stable,A_exact_pair,two_parent,True,-899112.2576273074,"T08 child painting is a correlated cross-check, not an independent likelihood. Invariant calls agree across the individual and selected soft-prevalence models, marker densities, leave-one-chromosome analyses, model sensitivities, and the painted-child transmission cross-check."
