ChildIndividualID,FatherIndividualID,MotherIndividualID,ReportedParentCount,FatherEdgeEvidenceClass,MotherEdgeEvidenceClass,TierAExactPair,TierBExactPair,PairInterpretation,EvidenceStatus,EvidenceTier,ParentCountMAPState,ParentCountStable,ForcedCompletionApplied,ForcedCompletionCaveat
fTroAst13,fTroAst25,fTroAst12,2,Tier_B_additional_identity,Tier_A_strict_identity,False,True,Tier_B_or_better_exact_pair,two_parent__C_mother_stable_father_ambiguous,B_exact_pair,two_parent,True,False,
fTroAst14,fTroAst18,fTroAst12,2,Tier_B_additional_identity,Tier_B_additional_identity,False,False,two_parent_working_pair_not_exactly_stable,two_parent__E_competing_parental_hypotheses,B_both_parent_identities_pair_ambiguous,two_parent,True,False,
fTroAst15,fTroAst11,fTroAst56,2,Tier_A_strict_identity,Tier_A_strict_identity,True,True,Tier_B_or_better_exact_pair,two_parent__A_exact_multigeneration_stable,A_exact_pair,two_parent,True,False,
fTroAst16,fTroAst18,fTroAst56,2,Leading_hypothesis_below_Tier_B,Leading_hypothesis_below_Tier_B,False,False,two_parent_working_pair_not_exactly_stable,U_parent_count_or_identity_unresolved,C_not_yet_defined,two_parent,False,False,
fTroAst17,fTroAst25,fTroAst56,2,Leading_hypothesis_below_Tier_B,Tier_A_strict_identity,False,False,two_parent_working_pair_not_exactly_stable,two_parent__C_mother_stable_father_ambiguous,A_one_parent_identity,two_parent,True,False,
fTroAst20,fTroAst18,fTroAst26,2,Tier_B_additional_identity,Tier_A_strict_identity,False,True,Tier_B_or_better_exact_pair,two_parent__C_mother_stable_father_ambiguous,B_exact_pair,two_parent,True,False,
fTroAst21,fTroAst11,fTroAst56,2,Tier_A_strict_identity,Leading_hypothesis_below_Tier_B,False,False,two_parent_working_pair_not_exactly_stable,two_parent__C_father_stable_mother_ambiguous,A_one_parent_identity,two_parent,True,False,
fTroAst22,fTroAst43,fTroAst12,2,Tier_A_strict_identity,Tier_A_strict_identity,True,True,Tier_B_or_better_exact_pair,two_parent__A_exact_multigeneration_stable,A_exact_pair,two_parent,True,False,
fTroAst23,fTroAst18,fTroAst26,2,Tier_A_strict_identity,Tier_A_strict_identity,False,False,two_parent_working_pair_not_exactly_stable,two_parent__B_both_parents_stable_pair_ambiguous,A_both_parent_identities_pair_ambiguous,two_parent,True,False,
fTroAst24,fTroAst37,fTroAst38,2,Leading_hypothesis_below_Tier_B,Leading_hypothesis_below_Tier_B,False,False,two_parent_working_pair_not_exactly_stable,U_parent_count_or_identity_unresolved,C_not_yet_defined,two_parent,False,False,
fTroAst27,fTroAst11,fTroAst19,2,Tier_B_additional_identity,Tier_A_strict_identity,False,True,Tier_B_or_better_exact_pair,two_parent__C_mother_stable_father_ambiguous,B_exact_pair,two_parent,True,False,
fTroAst28,fTroAst49,fTroAst12,2,Leading_hypothesis_below_Tier_B,Tier_A_strict_identity,False,False,two_parent_working_pair_not_exactly_stable,B_parent_count_ambiguous_shared_parent_identity_stable,A_one_parent_identity,two_parent,False,False,
fTroAst29,fTroAst55,fTroAst38,2,Tier_A_strict_identity,Tier_A_strict_identity,True,True,Tier_B_or_better_exact_pair,two_parent__A_exact_multigeneration_stable,A_exact_pair,two_parent,True,False,
fTroAst30,fTroAst43,fTroAst44,2,Tier_A_strict_identity,Leading_hypothesis_below_Tier_B,False,False,two_parent_working_pair_not_exactly_stable,B_parent_count_ambiguous_shared_parent_identity_stable,A_one_parent_identity,two_parent,False,False,
fTroAst33,fTroAst49,fTroAst12,2,Tier_A_strict_identity,Tier_A_strict_identity,True,True,Tier_B_or_better_exact_pair,two_parent__A_exact_multigeneration_stable,A_exact_pair,two_parent,True,False,
fTroAst34,fTroAst11,fTroAst26,2,Tier_A_strict_identity,Leading_hypothesis_below_Tier_B,False,False,two_parent_working_pair_not_exactly_stable,two_parent__C_father_stable_mother_ambiguous,A_one_parent_identity,two_parent,True,False,
fTroAst35,fTroAst18,fTroAst56,2,Tier_A_strict_identity,Tier_A_strict_identity,True,True,Tier_B_or_better_exact_pair,two_parent__A_exact_multigeneration_stable,A_exact_pair,two_parent,True,False,
fTroAst36,fTroAst49,fTroAst12,2,Leading_hypothesis_below_Tier_B,Tier_A_strict_identity,False,False,two_parent_working_pair_not_exactly_stable,two_parent__C_mother_stable_father_ambiguous,A_one_parent_identity,two_parent,True,False,
fTroAst39,fTroAst49,fTroAst12,2,Forced_completion_uncertain,Tier_B_additional_identity,False,False,two_parent_working_pair_not_exactly_stable,forced_complete_working_hypothesis_uncertain_father,D_forced_completion_not_established,mother_only,False,True,"Father fTroAst49 is a forced completion conditional on retaining mother fTroAst12 and assuming an observed F1 father exists; it is not established parentage. Conditional support: 55.3% chromosome bootstrap, 6/7 variants, 19/22 LOCO; principal alternative fTroAst18. Original V9 parent-count result remains mother_only (two_parent:0.507;mother_only:0.479)."
fTroAst40,fTroAst55,fTroAst38,2,Leading_hypothesis_below_Tier_B,Tier_B_additional_identity,False,False,two_parent_working_pair_not_exactly_stable,U_parent_count_or_identity_unresolved,B_one_parent_identity,two_parent,False,False,
fTroAst41,fTroAst11,fTroAst26,2,Tier_A_strict_identity,Tier_A_strict_identity,True,True,Tier_B_or_better_exact_pair,two_parent__A_exact_multigeneration_stable,A_exact_pair,two_parent,True,False,
fTroAst42,fTroAst18,fTroAst12,2,Tier_A_strict_identity,Tier_A_strict_identity,True,True,Tier_B_or_better_exact_pair,two_parent__A_exact_multigeneration_stable,A_exact_pair,two_parent,True,False,
fTroAst45,fTroAst18,fTroAst26,2,Tier_A_strict_identity,Tier_A_strict_identity,True,True,Tier_B_or_better_exact_pair,two_parent__A_exact_multigeneration_stable,A_exact_pair,two_parent,True,False,
fTroAst46,fTroAst43,fTroAst38,2,Leading_hypothesis_below_Tier_B,Leading_hypothesis_below_Tier_B,False,False,two_parent_working_pair_not_exactly_stable,U_parent_count_or_identity_unresolved,C_not_yet_defined,two_parent,False,False,
fTroAst47,fTroAst43,fTroAst32,2,Tier_A_strict_identity,Leading_hypothesis_below_Tier_B,False,False,two_parent_working_pair_not_exactly_stable,two_parent__C_father_stable_mother_ambiguous,A_one_parent_identity,two_parent,True,False,
fTroAst48,fTroAst18,fTroAst56,2,Leading_hypothesis_below_Tier_B,Leading_hypothesis_below_Tier_B,False,False,two_parent_working_pair_not_exactly_stable,two_parent__E_competing_parental_hypotheses,C_not_yet_defined,two_parent,True,False,
fTroAst51,fTroAst18,fTroAst56,2,Tier_A_strict_identity,Leading_hypothesis_below_Tier_B,False,False,two_parent_working_pair_not_exactly_stable,B_parent_count_ambiguous_shared_parent_identity_stable,A_one_parent_identity,two_parent,False,False,
fTroAst52,fTroAst25,fTroAst12,2,Tier_A_strict_identity,Tier_B_additional_identity,False,True,Tier_B_or_better_exact_pair,two_parent__C_father_stable_mother_ambiguous,B_exact_pair,two_parent,True,False,
fTroAst53,fTroAst11,fTroAst19,2,Tier_A_strict_identity,Tier_A_strict_identity,True,True,Tier_B_or_better_exact_pair,two_parent__A_exact_multigeneration_stable,A_exact_pair,two_parent,True,False,
fTroAst54,fTroAst18,fTroAst38,2,Tier_B_additional_identity,Tier_A_strict_identity,False,False,two_parent_working_pair_not_exactly_stable,two_parent__C_mother_stable_father_ambiguous,B_both_parent_identities_pair_ambiguous,two_parent,True,False,
fTroAst57,fTroAst11,fTroAst56,2,Forced_completion_uncertain,Tier_A_strict_identity,False,False,two_parent_working_pair_not_exactly_stable,forced_complete_working_hypothesis_uncertain_father,D_forced_completion_not_established,mother_only,True,True,"Father fTroAst11 is a forced completion conditional on retaining mother fTroAst56 and assuming an observed F1 father exists; it is not established parentage. Conditional support: 59.1% chromosome bootstrap, 6/7 variants, 19/22 LOCO; principal alternative fTroAst25. Original V9 parent-count result remains mother_only (mother_only:0.777;father_only:0.223)."
fTroAst58,fTroAst25,fTroAst26,2,Forced_completion_uncertain,Tier_A_strict_identity,False,False,two_parent_working_pair_not_exactly_stable,forced_complete_working_hypothesis_uncertain_father,D_forced_completion_not_established,mother_only,True,True,"Father fTroAst25 is a forced completion conditional on retaining mother fTroAst26 and assuming an observed F1 father exists; it is not established parentage. Conditional support: 56.4% chromosome bootstrap, 7/7 variants, 20/22 LOCO; principal alternative fTroAst11. Original V9 parent-count result remains mother_only (mother_only:1.000)."
fTroAst59,fTroAst25,fTroAst56,2,Leading_hypothesis_below_Tier_B,Leading_hypothesis_below_Tier_B,False,False,two_parent_working_pair_not_exactly_stable,two_parent__E_competing_parental_hypotheses,C_not_yet_defined,two_parent,True,False,
fTroAst60,fTroAst11,fTroAst12,2,Leading_hypothesis_below_Tier_B,Tier_A_strict_identity,False,False,two_parent_working_pair_not_exactly_stable,two_parent__C_mother_stable_father_ambiguous,A_one_parent_identity,two_parent,True,False,
fTroAst61,fTroAst43,fTroAst12,2,Tier_A_strict_identity,Tier_B_additional_identity,False,True,Tier_B_or_better_exact_pair,two_parent__C_father_stable_mother_ambiguous,B_exact_pair,two_parent,True,False,
fTroAst62,fTroAst37,fTroAst12,2,Tier_A_strict_identity,Tier_A_strict_identity,True,True,Tier_B_or_better_exact_pair,two_parent__A_exact_multigeneration_stable,A_exact_pair,two_parent,True,False,
fTroAst63,fTroAst25,fTroAst12,2,Tier_B_additional_identity,Leading_hypothesis_below_Tier_B,False,False,two_parent_working_pair_not_exactly_stable,U_parent_count_or_identity_unresolved,B_one_parent_identity,two_parent,False,False,
fTroAst64,fTroAst11,fTroAst56,2,Leading_hypothesis_below_Tier_B,Leading_hypothesis_below_Tier_B,False,False,two_parent_working_pair_not_exactly_stable,two_parent__E_competing_parental_hypotheses,C_not_yet_defined,two_parent,True,False,
fTroAst65,fTroAst43,fTroAst38,2,Tier_A_strict_identity,Leading_hypothesis_below_Tier_B,False,False,two_parent_working_pair_not_exactly_stable,two_parent__C_father_stable_mother_ambiguous,A_one_parent_identity,two_parent,True,False,
fTroAst66,fTroAst43,fTroAst38,2,Leading_hypothesis_below_Tier_B,Leading_hypothesis_below_Tier_B,False,False,two_parent_working_pair_not_exactly_stable,U_parent_count_or_identity_unresolved,C_not_yet_defined,two_parent,False,False,
fTroAst67,fTroAst11,fTroAst56,2,Tier_B_additional_identity,Leading_hypothesis_below_Tier_B,False,False,two_parent_working_pair_not_exactly_stable,two_parent__E_competing_parental_hypotheses,B_one_parent_identity,two_parent,True,False,
fTroAst68,fTroAst25,fTroAst56,2,Leading_hypothesis_below_Tier_B,Tier_B_additional_identity,False,False,two_parent_working_pair_not_exactly_stable,U_parent_count_or_identity_unresolved,B_one_parent_identity,two_parent,False,False,
fTroAst69,fTroAst18,fTroAst56,2,Tier_B_additional_identity,Leading_hypothesis_below_Tier_B,False,False,two_parent_working_pair_not_exactly_stable,two_parent__E_competing_parental_hypotheses,B_one_parent_identity,two_parent,True,False,
fTroAst70,fTroAst43,fTroAst38,2,Tier_B_additional_identity,Tier_B_additional_identity,False,True,Tier_B_or_better_exact_pair,U_parent_count_or_identity_unresolved,B_exact_pair,two_parent,False,False,
fTroAst71,fTroAst43,fTroAst38,2,Tier_A_strict_identity,Tier_A_strict_identity,True,True,Tier_B_or_better_exact_pair,two_parent__A_exact_multigeneration_stable,A_exact_pair,two_parent,True,False,
fTroAst72,fTroAst11,fTroAst12,2,Leading_hypothesis_below_Tier_B,Tier_A_strict_identity,False,False,two_parent_working_pair_not_exactly_stable,two_parent__C_mother_stable_father_ambiguous,A_one_parent_identity,two_parent,True,False,
fTroAst73,fTroAst18,fTroAst56,2,Leading_hypothesis_below_Tier_B,Leading_hypothesis_below_Tier_B,False,False,two_parent_working_pair_not_exactly_stable,two_parent__E_competing_parental_hypotheses,C_not_yet_defined,two_parent,True,False,
fTroAst74,fTroAst11,fTroAst44,2,Tier_B_additional_identity,Leading_hypothesis_below_Tier_B,False,False,two_parent_working_pair_not_exactly_stable,U_parent_count_or_identity_unresolved,B_one_parent_identity,two_parent,False,False,
fTroAst75,fTroAst18,fTroAst56,2,Leading_hypothesis_below_Tier_B,Leading_hypothesis_below_Tier_B,False,False,two_parent_working_pair_not_exactly_stable,two_parent__E_competing_parental_hypotheses,C_not_yet_defined,two_parent,True,False,
fTroAst76,fTroAst18,fTroAst12,2,Tier_A_strict_identity,Tier_A_strict_identity,True,True,Tier_B_or_better_exact_pair,two_parent__A_exact_multigeneration_stable,A_exact_pair,two_parent,True,False,
fTroAst77,fTroAst37,fTroAst12,2,Tier_A_strict_identity,Tier_A_strict_identity,True,True,Tier_B_or_better_exact_pair,two_parent__A_exact_multigeneration_stable,A_exact_pair,two_parent,True,False,
fTroAst78,fTroAst43,fTroAst26,2,Tier_A_strict_identity,Tier_A_strict_identity,True,True,Tier_B_or_better_exact_pair,two_parent__A_exact_multigeneration_stable,A_exact_pair,two_parent,True,False,
fTroAst79,fTroAst18,fTroAst50,2,Tier_A_strict_identity,Tier_A_strict_identity,True,True,Tier_B_or_better_exact_pair,two_parent__A_exact_multigeneration_stable,A_exact_pair,two_parent,True,False,
fTroAst80,fTroAst11,fTroAst38,2,Tier_A_strict_identity,Tier_A_strict_identity,True,True,Tier_B_or_better_exact_pair,two_parent__A_exact_multigeneration_stable,A_exact_pair,two_parent,True,False,
fTroAst81,fTroAst18,fTroAst12,2,Tier_A_strict_identity,Tier_A_strict_identity,True,True,Tier_B_or_better_exact_pair,two_parent__A_exact_multigeneration_stable,A_exact_pair,two_parent,True,False,
fTroAst82,fTroAst11,fTroAst38,2,Leading_hypothesis_below_Tier_B,Tier_B_additional_identity,False,False,two_parent_working_pair_not_exactly_stable,two_parent__E_competing_parental_hypotheses,B_one_parent_identity,two_parent,True,False,
fTroAst83,fTroAst11,fTroAst19,2,Tier_B_additional_identity,Tier_A_strict_identity,False,True,Tier_B_or_better_exact_pair,two_parent__C_mother_stable_father_ambiguous,B_exact_pair,two_parent,True,False,
fTroAst84,fTroAst43,fTroAst12,2,Leading_hypothesis_below_Tier_B,Tier_A_strict_identity,False,False,two_parent_working_pair_not_exactly_stable,two_parent__C_mother_stable_father_ambiguous,A_one_parent_identity,two_parent,True,False,
fTroAst85,fTroAst18,fTroAst38,2,Tier_A_strict_identity,Tier_A_strict_identity,True,True,Tier_B_or_better_exact_pair,two_parent__A_exact_multigeneration_stable,A_exact_pair,two_parent,True,False,
fTroAst86,fTroAst11,fTroAst12,2,Tier_A_strict_identity,Tier_A_strict_identity,True,True,Tier_B_or_better_exact_pair,two_parent__A_exact_multigeneration_stable,A_exact_pair,two_parent,True,False,
fTroAst87,fTroAst18,fTroAst38,2,Leading_hypothesis_below_Tier_B,Tier_A_strict_identity,False,False,two_parent_working_pair_not_exactly_stable,two_parent__C_mother_stable_father_ambiguous,A_one_parent_identity,two_parent,True,False,
fTroAst88,fTroAst31,fTroAst38,2,Tier_A_strict_identity,Tier_A_strict_identity,True,True,Tier_B_or_better_exact_pair,two_parent__A_exact_multigeneration_stable,A_exact_pair,two_parent,True,False,
fTroAst89,fTroAst11,fTroAst44,2,Tier_A_strict_identity,Leading_hypothesis_below_Tier_B,False,False,two_parent_working_pair_not_exactly_stable,two_parent__C_father_stable_mother_ambiguous,A_one_parent_identity,two_parent,True,False,
fTroAst90,fTroAst11,fTroAst44,2,Tier_A_strict_identity,Tier_A_strict_identity,True,True,Tier_B_or_better_exact_pair,two_parent__A_exact_multigeneration_stable,A_exact_pair,two_parent,True,False,
fTroAst91,fTroAst43,fTroAst12,2,Tier_A_strict_identity,Leading_hypothesis_below_Tier_B,False,False,two_parent_working_pair_not_exactly_stable,B_parent_count_ambiguous_shared_parent_identity_stable,A_one_parent_identity,two_parent,False,False,
fTroAst92,fTroAst37,fTroAst12,2,Tier_A_strict_identity,Tier_A_strict_identity,True,True,Tier_B_or_better_exact_pair,two_parent__A_exact_multigeneration_stable,A_exact_pair,two_parent,True,False,
fTroAst93,fTroAst11,fTroAst44,2,Tier_B_additional_identity,Leading_hypothesis_below_Tier_B,False,False,two_parent_working_pair_not_exactly_stable,U_parent_count_or_identity_unresolved,B_one_parent_identity,two_parent,False,False,
fTroAst94,fTroAst49,fTroAst12,2,Tier_A_strict_identity,Tier_A_strict_identity,True,True,Tier_B_or_better_exact_pair,two_parent__A_exact_multigeneration_stable,A_exact_pair,two_parent,True,False,
fTroAst95,fTroAst25,fTroAst56,2,Tier_A_strict_identity,Leading_hypothesis_below_Tier_B,False,False,two_parent_working_pair_not_exactly_stable,two_parent__C_father_stable_mother_ambiguous,A_one_parent_identity,two_parent,True,False,
fTroAst96,fTroAst31,fTroAst38,2,Tier_A_strict_identity,Tier_A_strict_identity,True,True,Tier_B_or_better_exact_pair,two_parent__A_exact_multigeneration_stable,A_exact_pair,two_parent,True,False,
fTroAst97,fTroAst18,fTroAst44,2,Tier_B_additional_identity,Tier_A_strict_identity,False,False,two_parent_working_pair_not_exactly_stable,two_parent__C_mother_stable_father_ambiguous,B_both_parent_identities_pair_ambiguous,two_parent,True,False,
fTroAst98,fTroAst25,fTroAst56,2,Tier_A_strict_identity,Tier_A_strict_identity,True,True,Tier_B_or_better_exact_pair,two_parent__A_exact_multigeneration_stable,A_exact_pair,two_parent,True,False,
fTroAst99,fTroAst11,fTroAst19,2,Tier_A_strict_identity,Tier_A_strict_identity,True,True,Tier_B_or_better_exact_pair,two_parent__A_exact_multigeneration_stable,A_exact_pair,two_parent,True,False,
fTroAst100,fTroAst18,fTroAst44,2,Tier_A_strict_identity,Tier_A_strict_identity,True,True,Tier_B_or_better_exact_pair,two_parent__A_exact_multigeneration_stable,A_exact_pair,two_parent,True,False,
fTroAst101,fTroAst25,fTroAst38,2,Leading_hypothesis_below_Tier_B,Tier_B_additional_identity,False,False,two_parent_working_pair_not_exactly_stable,two_parent__E_competing_parental_hypotheses,B_one_parent_identity,two_parent,True,False,
fTroAst102,fTroAst11,fTroAst19,2,Leading_hypothesis_below_Tier_B,Leading_hypothesis_below_Tier_B,False,False,two_parent_working_pair_not_exactly_stable,U_parent_count_or_identity_unresolved,C_not_yet_defined,two_parent,False,False,
fTroAst103,fTroAst55,fTroAst19,2,Tier_A_strict_identity,Tier_A_strict_identity,True,True,Tier_B_or_better_exact_pair,two_parent__A_exact_multigeneration_stable,A_exact_pair,two_parent,True,False,
fTroAst104,fTroAst49,fTroAst56,2,Tier_A_strict_identity,Tier_A_strict_identity,True,True,Tier_B_or_better_exact_pair,two_parent__A_exact_multigeneration_stable,A_exact_pair,two_parent,True,False,
fTroAst105,fTroAst18,fTroAst12,2,Tier_B_additional_identity,Tier_B_additional_identity,False,True,Tier_B_or_better_exact_pair,two_parent__E_competing_parental_hypotheses,B_exact_pair,two_parent,True,False,
fTroAst106,fTroAst18,fTroAst44,2,Leading_hypothesis_below_Tier_B,Leading_hypothesis_below_Tier_B,False,False,two_parent_working_pair_not_exactly_stable,two_parent__E_competing_parental_hypotheses,C_not_yet_defined,two_parent,True,False,
fTroAst107,fTroAst11,fTroAst44,2,Leading_hypothesis_below_Tier_B,Leading_hypothesis_below_Tier_B,False,False,two_parent_working_pair_not_exactly_stable,two_parent__E_competing_parental_hypotheses,C_not_yet_defined,two_parent,True,False,
fTroAst108,fTroAst31,fTroAst38,2,Tier_A_strict_identity,Tier_A_strict_identity,True,True,Tier_B_or_better_exact_pair,two_parent__A_exact_multigeneration_stable,A_exact_pair,two_parent,True,False,
fTroAst109,fTroAst49,fTroAst56,2,Tier_A_strict_identity,Tier_A_strict_identity,True,True,Tier_B_or_better_exact_pair,two_parent__A_exact_multigeneration_stable,A_exact_pair,two_parent,True,False,
fTroAst110,fTroAst31,fTroAst12,2,Tier_A_strict_identity,Tier_A_strict_identity,True,True,Tier_B_or_better_exact_pair,two_parent__A_exact_multigeneration_stable,A_exact_pair,two_parent,True,False,
fTroAst111,fTroAst11,fTroAst44,2,Leading_hypothesis_below_Tier_B,Leading_hypothesis_below_Tier_B,False,False,two_parent_working_pair_not_exactly_stable,U_parent_count_or_identity_unresolved,C_not_yet_defined,two_parent,False,False,
fTroAst112,fTroAst31,fTroAst38,2,Tier_A_strict_identity,Tier_A_strict_identity,True,True,Tier_B_or_better_exact_pair,two_parent__A_exact_multigeneration_stable,A_exact_pair,two_parent,True,False,
