ParentIndividualID,ParentProjectEntityID,ParentRole,ParentSex,ParentGeneration,ChildIndividualID,ChildProjectEntityID,ChildGeneration,EdgeEvidenceClass,IncludedInTierA,IncludedInTierB,IncludedInTierC,IncludedInComplete,FirstIncludedView,ForcedCompleteOnly,EdgeBootstrapFraction,EdgeVariantFraction,EdgeLeaveOneChromosomeFraction,EdgeAlternatives95,PairBootstrapFraction,PairVariantFraction,PairLeaveOneChromosomeFraction,PairAlternatives95,ParentCountMAPState,ParentCountStateBootstrapFraction,ParentCountStateLeaveOneChromosomeFraction,ParentCountStatePriorFraction,EdgeInclusionReason,Caveat
fAulAsc158,2021cicX11218976,father,M,F1,fAulAsc6,2021cicX11218800,F2,Tier_C_design_conditioned_leading_identity,False,False,True,True,tier_C,False,0.623,0.1428571428571428,0.9090909090909092,fAulAsc158:0.623;fAulAsc157:0.368,0.43575,0.1428571428571428,0.9090909090909092,fAulAsc158+fAulAsc154:0.436;fAulAsc157+fAulAsc153:0.282;fAulAsc158+fAulAsc153:0.187;fAulAsc157+fAulAsc154:0.086,zero_parent,0.0,0.0,0.0,leading joint-MAP pair identity admitted because the recorded-F1 candidate panel is independently guaranteed complete,Internal stability or leading rank is not breeding-record ground truth; Tier C identity is explicitly uncertain.
fAulAsc154,2021cicX11218972,mother,F,F1,fAulAsc6,2021cicX11218800,F2,Tier_C_design_conditioned_leading_identity,False,False,True,True,tier_C,False,0.5295000000000001,0.1428571428571428,0.9090909090909092,fAulAsc154:0.530;fAulAsc153:0.470,0.43575,0.1428571428571428,0.9090909090909092,fAulAsc158+fAulAsc154:0.436;fAulAsc157+fAulAsc153:0.282;fAulAsc158+fAulAsc153:0.187;fAulAsc157+fAulAsc154:0.086,zero_parent,0.0,0.0,0.0,leading joint-MAP pair identity admitted because the recorded-F1 candidate panel is independently guaranteed complete,Internal stability or leading rank is not breeding-record ground truth; Tier C identity is explicitly uncertain.
fAulAsc158,2021cicX11218976,father,M,F1,fAulAsc7,2021cicX11218801,F2,Tier_B_additional_identity,False,True,True,True,tier_B,False,0.8875,1.0,1.0,fAulAsc158:0.887;fAulAsc157:0.112,0.8115,1.0,1.0,fAulAsc158+fAulAsc153:0.811;fAulAsc157+fAulAsc154:0.111;fAulAsc158+fAulAsc154:0.076,zero_parent,0.0,0.0,0.0,Tier B chromosome-resampling identity stability,Internal stability or leading rank is not breeding-record ground truth; Tier C identity is explicitly uncertain.
fAulAsc153,2021cicX11218971,mother,F,F1,fAulAsc7,2021cicX11218801,F2,Tier_B_additional_identity,False,True,True,True,tier_B,False,0.81275,1.0,1.0,fAulAsc153:0.813;fAulAsc154:0.187,0.8115,1.0,1.0,fAulAsc158+fAulAsc153:0.811;fAulAsc157+fAulAsc154:0.111;fAulAsc158+fAulAsc154:0.076,zero_parent,0.0,0.0,0.0,Tier B chromosome-resampling identity stability,Internal stability or leading rank is not breeding-record ground truth; Tier C identity is explicitly uncertain.
fAulAsc158,2021cicX11218976,father,M,F1,fAulAsc8,2021cicX11218802,F2,Tier_A_strict_identity,True,True,True,True,tier_A,False,0.99075,1.0,1.0,fAulAsc158:0.991,0.74425,1.0,1.0,fAulAsc158+fAulAsc154:0.744;fAulAsc158+fAulAsc153:0.246,zero_parent,0.0,0.0,0.0,strict chromosome-resampling identity stability,Internal stability or leading rank is not breeding-record ground truth; Tier C identity is explicitly uncertain.
fAulAsc154,2021cicX11218972,mother,F,F1,fAulAsc8,2021cicX11218802,F2,Tier_B_additional_identity,False,True,True,True,tier_B,False,0.748,1.0,1.0,fAulAsc154:0.748;fAulAsc153:0.252,0.74425,1.0,1.0,fAulAsc158+fAulAsc154:0.744;fAulAsc158+fAulAsc153:0.246,zero_parent,0.0,0.0,0.0,Tier B chromosome-resampling identity stability,Internal stability or leading rank is not breeding-record ground truth; Tier C identity is explicitly uncertain.
fAulAsc151,2021cicX11218969,father,M,F1,fAulAsc9,2021cicX11218803,F2,Tier_A_strict_identity,True,True,True,True,tier_A,False,0.9895,1.0,1.0,fAulAsc151:0.990,0.8025,1.0,1.0,fAulAsc151+fAulAsc154:0.802;fAulAsc151+fAulAsc153:0.187,father_only,0.0005,0.0,0.0,strict chromosome-resampling identity stability,Internal stability or leading rank is not breeding-record ground truth; Tier C identity is explicitly uncertain.
fAulAsc154,2021cicX11218972,mother,F,F1,fAulAsc9,2021cicX11218803,F2,Tier_B_additional_identity,False,True,True,True,tier_B,False,0.813,1.0,1.0,fAulAsc154:0.813;fAulAsc153:0.187,0.8025,1.0,1.0,fAulAsc151+fAulAsc154:0.802;fAulAsc151+fAulAsc153:0.187,father_only,0.0005,0.0,0.0,Tier B chromosome-resampling identity stability,Internal stability or leading rank is not breeding-record ground truth; Tier C identity is explicitly uncertain.
fAulAsc151,2021cicX11218969,father,M,F1,fAulAsc10,2021cicX11218804,F2,Tier_A_strict_identity,True,True,True,True,tier_A,False,0.97375,1.0,1.0,fAulAsc151:0.974,0.94725,1.0,1.0,fAulAsc151+fAulAsc154:0.947;fAulAsc151+fAulAsc153:0.026,father_only,0.0,0.0,0.0,strict chromosome-resampling identity stability,Internal stability or leading rank is not breeding-record ground truth; Tier C identity is explicitly uncertain.
fAulAsc154,2021cicX11218972,mother,F,F1,fAulAsc10,2021cicX11218804,F2,Tier_A_strict_identity,True,True,True,True,tier_A,False,0.96375,1.0,1.0,fAulAsc154:0.964,0.94725,1.0,1.0,fAulAsc151+fAulAsc154:0.947;fAulAsc151+fAulAsc153:0.026,father_only,0.0,0.0,0.0,strict chromosome-resampling identity stability,Internal stability or leading rank is not breeding-record ground truth; Tier C identity is explicitly uncertain.
fAulAsc158,2021cicX11218976,father,M,F1,fAulAsc11,2021cicX11218805,F2,Tier_C_design_conditioned_leading_identity,False,False,True,True,tier_C,False,0.59525,0.5714285714285714,0.7727272727272727,fAulAsc158:0.595;fAulAsc157:0.405,0.594,0.5714285714285714,0.7727272727272727,fAulAsc158+fAulAsc154:0.594;fAulAsc157+fAulAsc153:0.394,zero_parent,0.0,0.0,0.0,leading joint-MAP pair identity admitted because the recorded-F1 candidate panel is independently guaranteed complete,Internal stability or leading rank is not breeding-record ground truth; Tier C identity is explicitly uncertain.
fAulAsc154,2021cicX11218972,mother,F,F1,fAulAsc11,2021cicX11218805,F2,Tier_C_design_conditioned_leading_identity,False,False,True,True,tier_C,False,0.60525,0.5714285714285714,0.7727272727272727,fAulAsc154:0.605;fAulAsc153:0.395,0.594,0.5714285714285714,0.7727272727272727,fAulAsc158+fAulAsc154:0.594;fAulAsc157+fAulAsc153:0.394,zero_parent,0.0,0.0,0.0,leading joint-MAP pair identity admitted because the recorded-F1 candidate panel is independently guaranteed complete,Internal stability or leading rank is not breeding-record ground truth; Tier C identity is explicitly uncertain.
fAulAsc151,2021cicX11218969,father,M,F1,fAulAsc12,2021cicX11218806,F2,Tier_A_strict_identity,True,True,True,True,tier_A,False,0.98425,1.0,1.0,fAulAsc151:0.984,0.68625,1.0,1.0,fAulAsc151+fAulAsc154:0.686;fAulAsc151+fAulAsc153:0.298,zero_parent,0.00825,0.0,0.0,strict chromosome-resampling identity stability,Internal stability or leading rank is not breeding-record ground truth; Tier C identity is explicitly uncertain.
fAulAsc154,2021cicX11218972,mother,F,F1,fAulAsc12,2021cicX11218806,F2,Tier_B_additional_identity,False,True,True,True,tier_B,False,0.6985,1.0,1.0,fAulAsc154:0.699;fAulAsc153:0.301,0.68625,1.0,1.0,fAulAsc151+fAulAsc154:0.686;fAulAsc151+fAulAsc153:0.298,zero_parent,0.00825,0.0,0.0,Tier B chromosome-resampling identity stability,Internal stability or leading rank is not breeding-record ground truth; Tier C identity is explicitly uncertain.
fAulAsc151,2021cicX11218969,father,M,F1,fAulAsc13,2021cicX11218807,F2,Tier_A_strict_identity,True,True,True,True,tier_A,False,0.98475,1.0,1.0,fAulAsc151:0.985,0.98475,1.0,1.0,fAulAsc151+fAulAsc153:0.985,father_only,0.01625,0.0,0.0,strict chromosome-resampling identity stability,Internal stability or leading rank is not breeding-record ground truth; Tier C identity is explicitly uncertain.
fAulAsc153,2021cicX11218971,mother,F,F1,fAulAsc13,2021cicX11218807,F2,Tier_A_strict_identity,True,True,True,True,tier_A,False,0.99975,1.0,1.0,fAulAsc153:1.000,0.98475,1.0,1.0,fAulAsc151+fAulAsc153:0.985,father_only,0.01625,0.0,0.0,strict chromosome-resampling identity stability,Internal stability or leading rank is not breeding-record ground truth; Tier C identity is explicitly uncertain.
fAulAsc151,2021cicX11218969,father,M,F1,fAulAsc14,2021cicX11218808,F2,Tier_A_strict_identity,True,True,True,True,tier_A,False,0.97025,1.0,1.0,fAulAsc151:0.970,0.55225,0.1428571428571428,0.7727272727272727,fAulAsc151+fAulAsc153:0.552;fAulAsc151+fAulAsc154:0.418,father_only,0.00025,0.0,0.0,strict chromosome-resampling identity stability,Internal stability or leading rank is not breeding-record ground truth; Tier C identity is explicitly uncertain.
fAulAsc153,2021cicX11218971,mother,F,F1,fAulAsc14,2021cicX11218808,F2,Tier_C_design_conditioned_leading_identity,False,False,True,True,tier_C,False,0.565,0.1428571428571428,0.7727272727272727,fAulAsc153:0.565;fAulAsc154:0.435,0.55225,0.1428571428571428,0.7727272727272727,fAulAsc151+fAulAsc153:0.552;fAulAsc151+fAulAsc154:0.418,father_only,0.00025,0.0,0.0,leading joint-MAP pair identity admitted because the recorded-F1 candidate panel is independently guaranteed complete,Internal stability or leading rank is not breeding-record ground truth; Tier C identity is explicitly uncertain.
fAulAsc157,2021cicX11218975,father,M,F1,fAulAsc15,2021cicX11218809,F2,Tier_C_design_conditioned_leading_identity,False,False,True,True,tier_C,False,0.5025,1.0,0.5909090909090909,fAulAsc157:0.502;fAulAsc158:0.497,0.5025,1.0,0.5909090909090909,fAulAsc157+fAulAsc154:0.502;fAulAsc158+fAulAsc154:0.461,zero_parent,0.00075,0.0,0.0,leading joint-MAP pair identity admitted because the recorded-F1 candidate panel is independently guaranteed complete,Internal stability or leading rank is not breeding-record ground truth; Tier C identity is explicitly uncertain.
fAulAsc154,2021cicX11218972,mother,F,F1,fAulAsc15,2021cicX11218809,F2,Tier_A_strict_identity,True,True,True,True,tier_A,False,0.96375,1.0,1.0,fAulAsc154:0.964,0.5025,1.0,0.5909090909090909,fAulAsc157+fAulAsc154:0.502;fAulAsc158+fAulAsc154:0.461,zero_parent,0.00075,0.0,0.0,strict chromosome-resampling identity stability,Internal stability or leading rank is not breeding-record ground truth; Tier C identity is explicitly uncertain.
fAulAsc158,2021cicX11218976,father,M,F1,fAulAsc16,2021cicX11218810,F2,Tier_B_additional_identity,False,True,True,True,tier_B,False,0.65125,1.0,1.0,fAulAsc158:0.651;fAulAsc157:0.349,0.48275,1.0,1.0,fAulAsc158+fAulAsc154:0.483;fAulAsc157+fAulAsc154:0.228;fAulAsc158+fAulAsc153:0.169;fAulAsc157+fAulAsc153:0.120,zero_parent,0.0,0.0,0.0,Tier B chromosome-resampling identity stability,Internal stability or leading rank is not breeding-record ground truth; Tier C identity is explicitly uncertain.
fAulAsc154,2021cicX11218972,mother,F,F1,fAulAsc16,2021cicX11218810,F2,Tier_B_additional_identity,False,True,True,True,tier_B,False,0.71075,1.0,1.0,fAulAsc154:0.711;fAulAsc153:0.289,0.48275,1.0,1.0,fAulAsc158+fAulAsc154:0.483;fAulAsc157+fAulAsc154:0.228;fAulAsc158+fAulAsc153:0.169;fAulAsc157+fAulAsc153:0.120,zero_parent,0.0,0.0,0.0,Tier B chromosome-resampling identity stability,Internal stability or leading rank is not breeding-record ground truth; Tier C identity is explicitly uncertain.
fAulAsc157,2021cicX11218975,father,M,F1,fAulAsc17,2021cicX11218811,F2,Tier_B_additional_identity,False,True,True,True,tier_B,False,0.74075,1.0,1.0,fAulAsc157:0.741;fAulAsc158:0.259,0.53,0.2857142857142857,1.0,fAulAsc157+fAulAsc154:0.530;fAulAsc157+fAulAsc153:0.211;fAulAsc158+fAulAsc154:0.181;fAulAsc158+fAulAsc153:0.078,zero_parent,0.0,0.0,0.0,Tier B chromosome-resampling identity stability,Internal stability or leading rank is not breeding-record ground truth; Tier C identity is explicitly uncertain.
fAulAsc154,2021cicX11218972,mother,F,F1,fAulAsc17,2021cicX11218811,F2,Tier_C_design_conditioned_leading_identity,False,False,True,True,tier_C,False,0.7110000000000001,0.2857142857142857,1.0,fAulAsc154:0.711;fAulAsc153:0.289,0.53,0.2857142857142857,1.0,fAulAsc157+fAulAsc154:0.530;fAulAsc157+fAulAsc153:0.211;fAulAsc158+fAulAsc154:0.181;fAulAsc158+fAulAsc153:0.078,zero_parent,0.0,0.0,0.0,leading joint-MAP pair identity admitted because the recorded-F1 candidate panel is independently guaranteed complete,Internal stability or leading rank is not breeding-record ground truth; Tier C identity is explicitly uncertain.
fAulAsc158,2021cicX11218976,father,M,F1,fAulAsc18,2021cicX11218812,F2,Tier_C_design_conditioned_leading_identity,False,False,True,True,tier_C,False,0.694,1.0,0.7727272727272727,fAulAsc158:0.694;fAulAsc157:0.306,0.4585,0.1428571428571428,0.7727272727272727,fAulAsc158+fAulAsc154:0.459;fAulAsc157+fAulAsc153:0.262;fAulAsc158+fAulAsc153:0.235,zero_parent,0.0,0.0,0.0,leading joint-MAP pair identity admitted because the recorded-F1 candidate panel is independently guaranteed complete,Internal stability or leading rank is not breeding-record ground truth; Tier C identity is explicitly uncertain.
fAulAsc154,2021cicX11218972,mother,F,F1,fAulAsc18,2021cicX11218812,F2,Tier_C_design_conditioned_leading_identity,False,False,True,True,tier_C,False,0.50275,0.1428571428571428,0.7727272727272727,fAulAsc154:0.503;fAulAsc153:0.497,0.4585,0.1428571428571428,0.7727272727272727,fAulAsc158+fAulAsc154:0.459;fAulAsc157+fAulAsc153:0.262;fAulAsc158+fAulAsc153:0.235,zero_parent,0.0,0.0,0.0,leading joint-MAP pair identity admitted because the recorded-F1 candidate panel is independently guaranteed complete,Internal stability or leading rank is not breeding-record ground truth; Tier C identity is explicitly uncertain.
fAulAsc157,2021cicX11218975,father,M,F1,fAulAsc19,2021cicX11218813,F2,Tier_B_additional_identity,False,True,True,True,tier_B,False,0.5612499999999999,1.0,0.8181818181818182,fAulAsc157:0.561;fAulAsc158:0.439,0.56075,1.0,0.8181818181818182,fAulAsc157+fAulAsc154:0.561;fAulAsc158+fAulAsc154:0.321;fAulAsc158+fAulAsc153:0.117,zero_parent,0.0,0.0,0.0,Tier B chromosome-resampling identity stability,Internal stability or leading rank is not breeding-record ground truth; Tier C identity is explicitly uncertain.
fAulAsc154,2021cicX11218972,mother,F,F1,fAulAsc19,2021cicX11218813,F2,Tier_B_additional_identity,False,True,True,True,tier_B,False,0.8819999999999999,1.0,1.0,fAulAsc154:0.882;fAulAsc153:0.118,0.56075,1.0,0.8181818181818182,fAulAsc157+fAulAsc154:0.561;fAulAsc158+fAulAsc154:0.321;fAulAsc158+fAulAsc153:0.117,zero_parent,0.0,0.0,0.0,Tier B chromosome-resampling identity stability,Internal stability or leading rank is not breeding-record ground truth; Tier C identity is explicitly uncertain.
fAulAsc157,2021cicX11218975,father,M,F1,fAulAsc20,2021cicX11218814,F2,Tier_C_design_conditioned_leading_identity,False,False,True,True,tier_C,False,0.44925,1.0,0.5909090909090909,fAulAsc158:0.549;fAulAsc157:0.449,0.44925,1.0,0.5909090909090909,fAulAsc157+fAulAsc154:0.449;fAulAsc158+fAulAsc154:0.381;fAulAsc158+fAulAsc153:0.168,zero_parent,0.0,0.0,0.0,leading joint-MAP pair identity admitted because the recorded-F1 candidate panel is independently guaranteed complete,Internal stability or leading rank is not breeding-record ground truth; Tier C identity is explicitly uncertain.
fAulAsc154,2021cicX11218972,mother,F,F1,fAulAsc20,2021cicX11218814,F2,Tier_B_additional_identity,False,True,True,True,tier_B,False,0.82975,1.0,1.0,fAulAsc154:0.830;fAulAsc153:0.170,0.44925,1.0,0.5909090909090909,fAulAsc157+fAulAsc154:0.449;fAulAsc158+fAulAsc154:0.381;fAulAsc158+fAulAsc153:0.168,zero_parent,0.0,0.0,0.0,Tier B chromosome-resampling identity stability,Internal stability or leading rank is not breeding-record ground truth; Tier C identity is explicitly uncertain.
fAulAsc151,2021cicX11218969,father,M,F1,fAulAsc21,2021cicX11218815,F2,Tier_B_additional_identity,False,True,True,True,tier_B,False,0.85225,1.0,1.0,fAulAsc151:0.852;fAulAsc152:0.076;fAulAsc155:0.035,0.699,1.0,1.0,fAulAsc151+fAulAsc154:0.699;fAulAsc151+fAulAsc153:0.153;fAulAsc152+fAulAsc153:0.075;fAulAsc155+fAulAsc154:0.035,zero_parent,0.001,0.0,0.0,Tier B chromosome-resampling identity stability,Internal stability or leading rank is not breeding-record ground truth; Tier C identity is explicitly uncertain.
fAulAsc154,2021cicX11218972,mother,F,F1,fAulAsc21,2021cicX11218815,F2,Tier_B_additional_identity,False,True,True,True,tier_B,False,0.7579999999999999,1.0,1.0,fAulAsc154:0.758;fAulAsc153:0.242,0.699,1.0,1.0,fAulAsc151+fAulAsc154:0.699;fAulAsc151+fAulAsc153:0.153;fAulAsc152+fAulAsc153:0.075;fAulAsc155+fAulAsc154:0.035,zero_parent,0.001,0.0,0.0,Tier B chromosome-resampling identity stability,Internal stability or leading rank is not breeding-record ground truth; Tier C identity is explicitly uncertain.
fAulAsc158,2021cicX11218976,father,M,F1,fAulAsc22,2021cicX11218816,F2,Tier_B_additional_identity,False,True,True,True,tier_B,False,0.60775,1.0,1.0,fAulAsc158:0.608;fAulAsc157:0.392,0.3565,0.1428571428571428,0.8181818181818182,fAulAsc158+fAulAsc154:0.356;fAulAsc158+fAulAsc153:0.251;fAulAsc157+fAulAsc153:0.249;fAulAsc157+fAulAsc154:0.143,zero_parent,0.0,0.0,0.0,Tier B chromosome-resampling identity stability,Internal stability or leading rank is not breeding-record ground truth; Tier C identity is explicitly uncertain.
fAulAsc154,2021cicX11218972,mother,F,F1,fAulAsc22,2021cicX11218816,F2,Tier_C_design_conditioned_leading_identity,False,False,True,True,tier_C,False,0.4997499999999999,0.1428571428571428,0.8181818181818182,fAulAsc153:0.500;fAulAsc154:0.500,0.3565,0.1428571428571428,0.8181818181818182,fAulAsc158+fAulAsc154:0.356;fAulAsc158+fAulAsc153:0.251;fAulAsc157+fAulAsc153:0.249;fAulAsc157+fAulAsc154:0.143,zero_parent,0.0,0.0,0.0,leading joint-MAP pair identity admitted because the recorded-F1 candidate panel is independently guaranteed complete,Internal stability or leading rank is not breeding-record ground truth; Tier C identity is explicitly uncertain.
fAulAsc151,2021cicX11218969,father,M,F1,fAulAsc23,2021cicX11218817,F2,Tier_A_strict_identity,True,True,True,True,tier_A,False,1.0,1.0,1.0,fAulAsc151:1.000,1.0,1.0,1.0,fAulAsc151+fAulAsc154:1.000,two_parent,1.0,1.0,1.0,strict chromosome-resampling identity stability,Internal stability or leading rank is not breeding-record ground truth; Tier C identity is explicitly uncertain.
fAulAsc154,2021cicX11218972,mother,F,F1,fAulAsc23,2021cicX11218817,F2,Tier_A_strict_identity,True,True,True,True,tier_A,False,1.0,1.0,1.0,fAulAsc154:1.000,1.0,1.0,1.0,fAulAsc151+fAulAsc154:1.000,two_parent,1.0,1.0,1.0,strict chromosome-resampling identity stability,Internal stability or leading rank is not breeding-record ground truth; Tier C identity is explicitly uncertain.
fAulAsc151,2021cicX11218969,father,M,F1,fAulAsc24,2021cicX11218818,F2,Tier_B_additional_identity,False,True,True,True,tier_B,False,0.7222500000000001,1.0,1.0,fAulAsc151:0.722;fAulAsc155:0.196;fAulAsc152:0.043,0.44125,1.0,0.9090909090909092,fAulAsc151+fAulAsc153:0.441;fAulAsc151+fAulAsc154:0.281;fAulAsc155+fAulAsc154:0.184;fAulAsc152+fAulAsc153:0.043;fAulAsc158+fAulAsc153:0.022,zero_parent,0.0005,0.0,0.0,Tier B chromosome-resampling identity stability,Internal stability or leading rank is not breeding-record ground truth; Tier C identity is explicitly uncertain.
fAulAsc153,2021cicX11218971,mother,F,F1,fAulAsc24,2021cicX11218818,F2,Tier_B_additional_identity,False,True,True,True,tier_B,False,0.5185,1.0,0.9090909090909092,fAulAsc153:0.518;fAulAsc154:0.481,0.44125,1.0,0.9090909090909092,fAulAsc151+fAulAsc153:0.441;fAulAsc151+fAulAsc154:0.281;fAulAsc155+fAulAsc154:0.184;fAulAsc152+fAulAsc153:0.043;fAulAsc158+fAulAsc153:0.022,zero_parent,0.0005,0.0,0.0,Tier B chromosome-resampling identity stability,Internal stability or leading rank is not breeding-record ground truth; Tier C identity is explicitly uncertain.
fAulAsc158,2021cicX11218976,father,M,F1,fAulAsc25,2021cicX11218819,F2,Tier_B_additional_identity,False,True,True,True,tier_B,False,0.94775,1.0,1.0,fAulAsc158:0.948;fAulAsc157:0.052,0.628,1.0,1.0,fAulAsc158+fAulAsc153:0.628;fAulAsc158+fAulAsc154:0.320;fAulAsc157+fAulAsc154:0.052,zero_parent,0.0,0.0,0.0,Tier B chromosome-resampling identity stability,Internal stability or leading rank is not breeding-record ground truth; Tier C identity is explicitly uncertain.
fAulAsc153,2021cicX11218971,mother,F,F1,fAulAsc25,2021cicX11218819,F2,Tier_B_additional_identity,False,True,True,True,tier_B,False,0.628,1.0,1.0,fAulAsc153:0.628;fAulAsc154:0.372,0.628,1.0,1.0,fAulAsc158+fAulAsc153:0.628;fAulAsc158+fAulAsc154:0.320;fAulAsc157+fAulAsc154:0.052,zero_parent,0.0,0.0,0.0,Tier B chromosome-resampling identity stability,Internal stability or leading rank is not breeding-record ground truth; Tier C identity is explicitly uncertain.
