EntityID,Sample,Alias,SantosID,EntityType,MetadataGeneration,PedigreeGeneration,Brood,Sex,Parent1,Parent2,Parent1Alias,Parent2Alias,CandidateParent1,CandidateParent2,CandidateParent1Alias,CandidateParent2Alias,ObservedParentState,EvidenceStatus,MissingBiologicalParentCount,Notes,InferenceModel,EvidencePolicy,EvidenceTier,Parent1EvidenceTier,Parent2EvidenceTier,PairBootstrapFraction,FatherBootstrapFraction,MotherBootstrapFraction,PairAlternatives95,Parent1Alternatives95,Parent2Alternatives95,ParentCountMAPState,ParentCountStateUsedAsTierGate,UnresolvedObservedParentIdentityCount,Parent1BootstrapFraction,HandoffView,F2RecordedF1ParentGuarantee,ForcedCompleteOnly,HandoffInterpretation
2021cicX11218802,2021cicX11218802,fAulAsc8,AA08,sequenced_individual,F2,F2,,M,2021cicX11218976,2021cicX11218972,fAulAsc158,fAulAsc154,2021cicX11218976,2021cicX11218972,fAulAsc158,fAulAsc154,two_observed_parent_working_hypothesis,B_exact_pair,,"No real individual-level trio ground truth is available; tier labels describe relative identity stability conditional on the eligible candidate panel, not absolute parent presence. Blank fields mean unresolved or unsequenced rather than biological absence.",all_marker_phase_invariant_plus_reset_aware_linkage_parent_GL_conditioned,tier_B_or_better,B_exact_pair,A,B,0.74425,0.99075,0.748,fAulAsc158+fAulAsc154:0.744;fAulAsc158+fAulAsc153:0.246,fAulAsc158:0.991,fAulAsc154:0.748;fAulAsc153:0.252,zero_parent,False,0.0,,tier_B,independently_supplied_by_cross_users,False,parent identities ranked within an independently guaranteed complete 14-pair recorded-F1 candidate panel
2021cicX11218803,2021cicX11218803,fAulAsc9,AA09,sequenced_individual,F2,F2,,M,2021cicX11218969,2021cicX11218972,fAulAsc151,fAulAsc154,2021cicX11218969,2021cicX11218972,fAulAsc151,fAulAsc154,two_observed_parent_working_hypothesis,B_exact_pair,,"No real individual-level trio ground truth is available; tier labels describe relative identity stability conditional on the eligible candidate panel, not absolute parent presence. Blank fields mean unresolved or unsequenced rather than biological absence.",all_marker_phase_invariant_plus_reset_aware_linkage_parent_GL_conditioned,tier_B_or_better,B_exact_pair,A,B,0.8025,0.9895,0.813,fAulAsc151+fAulAsc154:0.802;fAulAsc151+fAulAsc153:0.187,fAulAsc151:0.990,fAulAsc154:0.813;fAulAsc153:0.187,father_only,False,0.0,,tier_B,independently_supplied_by_cross_users,False,parent identities ranked within an independently guaranteed complete 14-pair recorded-F1 candidate panel
2021cicX11218804,2021cicX11218804,fAulAsc10,AA10,sequenced_individual,F2,F2,,M,2021cicX11218969,2021cicX11218972,fAulAsc151,fAulAsc154,2021cicX11218969,2021cicX11218972,fAulAsc151,fAulAsc154,two_observed_parent_working_hypothesis,B_exact_pair,,"No real individual-level trio ground truth is available; tier labels describe relative identity stability conditional on the eligible candidate panel, not absolute parent presence. Blank fields mean unresolved or unsequenced rather than biological absence.",all_marker_phase_invariant_plus_reset_aware_linkage_parent_GL_conditioned,tier_B_or_better,B_exact_pair,A,A,0.94725,0.97375,0.96375,fAulAsc151+fAulAsc154:0.947;fAulAsc151+fAulAsc153:0.026,fAulAsc151:0.974,fAulAsc154:0.964,father_only,False,0.0,,tier_B,independently_supplied_by_cross_users,False,parent identities ranked within an independently guaranteed complete 14-pair recorded-F1 candidate panel
2021cicX11218805,2021cicX11218805,fAulAsc11,AA11,sequenced_individual,F2,F2,,M,,,,,2021cicX11218976,2021cicX11218972,fAulAsc158,fAulAsc154,observed_parent_identity_unresolved,C_complete_working_hypothesis,,"No real individual-level trio ground truth is available; tier labels describe relative identity stability conditional on the eligible candidate panel, not absolute parent presence. Blank fields mean unresolved or unsequenced rather than biological absence.",all_marker_phase_invariant_plus_reset_aware_linkage_parent_GL_conditioned,tier_B_or_better,C_complete_working_hypothesis,C,C,0.594,0.59525,0.60525,fAulAsc158+fAulAsc154:0.594;fAulAsc157+fAulAsc153:0.394,fAulAsc158:0.595;fAulAsc157:0.405,fAulAsc154:0.605;fAulAsc153:0.395,zero_parent,False,2.0,,tier_B,independently_supplied_by_cross_users,False,parent identities ranked within an independently guaranteed complete 14-pair recorded-F1 candidate panel
2021cicX11218806,2021cicX11218806,fAulAsc12,AA12,sequenced_individual,F2,F2,,M,2021cicX11218969,2021cicX11218972,fAulAsc151,fAulAsc154,2021cicX11218969,2021cicX11218972,fAulAsc151,fAulAsc154,two_observed_parent_working_hypothesis,B_exact_pair,,"No real individual-level trio ground truth is available; tier labels describe relative identity stability conditional on the eligible candidate panel, not absolute parent presence. Blank fields mean unresolved or unsequenced rather than biological absence.",all_marker_phase_invariant_plus_reset_aware_linkage_parent_GL_conditioned,tier_B_or_better,B_exact_pair,A,B,0.68625,0.98425,0.6985,fAulAsc151+fAulAsc154:0.686;fAulAsc151+fAulAsc153:0.298,fAulAsc151:0.984,fAulAsc154:0.699;fAulAsc153:0.301,zero_parent,False,0.0,,tier_B,independently_supplied_by_cross_users,False,parent identities ranked within an independently guaranteed complete 14-pair recorded-F1 candidate panel
2021cicX11218807,2021cicX11218807,fAulAsc13,AA13,sequenced_individual,F2,F2,,M,2021cicX11218969,2021cicX11218971,fAulAsc151,fAulAsc153,2021cicX11218969,2021cicX11218971,fAulAsc151,fAulAsc153,two_observed_parent_working_hypothesis,A_exact_pair,,"No real individual-level trio ground truth is available; tier labels describe relative identity stability conditional on the eligible candidate panel, not absolute parent presence. Blank fields mean unresolved or unsequenced rather than biological absence.",all_marker_phase_invariant_plus_reset_aware_linkage_parent_GL_conditioned,tier_B_or_better,A_exact_pair,A,A,0.98475,0.98475,0.99975,fAulAsc151+fAulAsc153:0.985,fAulAsc151:0.985,fAulAsc153:1.000,father_only,False,0.0,,tier_B,independently_supplied_by_cross_users,False,parent identities ranked within an independently guaranteed complete 14-pair recorded-F1 candidate panel
2021cicX11218808,2021cicX11218808,fAulAsc14,AA14,sequenced_individual,F2,F2,,M,2021cicX11218969,,fAulAsc151,,2021cicX11218969,2021cicX11218971,fAulAsc151,fAulAsc153,one_observed_parent_reported,A_one_parent_identity,,"No real individual-level trio ground truth is available; tier labels describe relative identity stability conditional on the eligible candidate panel, not absolute parent presence. Blank fields mean unresolved or unsequenced rather than biological absence.",all_marker_phase_invariant_plus_reset_aware_linkage_parent_GL_conditioned,tier_B_or_better,A_one_parent_identity,A,C,0.55225,0.97025,0.565,fAulAsc151+fAulAsc153:0.552;fAulAsc151+fAulAsc154:0.418,fAulAsc151:0.970,fAulAsc153:0.565;fAulAsc154:0.435,father_only,False,1.0,,tier_B,independently_supplied_by_cross_users,False,parent identities ranked within an independently guaranteed complete 14-pair recorded-F1 candidate panel
2021cicX11218809,2021cicX11218809,fAulAsc15,AA15,sequenced_individual,F2,F2,,M,,2021cicX11218972,,fAulAsc154,2021cicX11218975,2021cicX11218972,fAulAsc157,fAulAsc154,one_observed_parent_reported,A_one_parent_identity,,"No real individual-level trio ground truth is available; tier labels describe relative identity stability conditional on the eligible candidate panel, not absolute parent presence. Blank fields mean unresolved or unsequenced rather than biological absence.",all_marker_phase_invariant_plus_reset_aware_linkage_parent_GL_conditioned,tier_B_or_better,A_one_parent_identity,C,A,0.5025,0.5025,0.96375,fAulAsc157+fAulAsc154:0.502;fAulAsc158+fAulAsc154:0.461,fAulAsc157:0.502;fAulAsc158:0.497,fAulAsc154:0.964,zero_parent,False,1.0,,tier_B,independently_supplied_by_cross_users,False,parent identities ranked within an independently guaranteed complete 14-pair recorded-F1 candidate panel
2021cicX11218810,2021cicX11218810,fAulAsc16,AA16,sequenced_individual,F2,F2,,M,2021cicX11218976,2021cicX11218972,fAulAsc158,fAulAsc154,2021cicX11218976,2021cicX11218972,fAulAsc158,fAulAsc154,two_observed_parent_working_hypothesis,B_both_parent_identities_pair_ambiguous,,"No real individual-level trio ground truth is available; tier labels describe relative identity stability conditional on the eligible candidate panel, not absolute parent presence. Blank fields mean unresolved or unsequenced rather than biological absence.",all_marker_phase_invariant_plus_reset_aware_linkage_parent_GL_conditioned,tier_B_or_better,B_both_parent_identities_pair_ambiguous,B,B,0.48275,0.65125,0.71075,fAulAsc158+fAulAsc154:0.483;fAulAsc157+fAulAsc154:0.228;fAulAsc158+fAulAsc153:0.169;fAulAsc157+fAulAsc153:0.120,fAulAsc158:0.651;fAulAsc157:0.349,fAulAsc154:0.711;fAulAsc153:0.289,zero_parent,False,0.0,,tier_B,independently_supplied_by_cross_users,False,parent identities ranked within an independently guaranteed complete 14-pair recorded-F1 candidate panel
2021cicX11218811,2021cicX11218811,fAulAsc17,AA17,sequenced_individual,F2,F2,,M,2021cicX11218975,,fAulAsc157,,2021cicX11218975,2021cicX11218972,fAulAsc157,fAulAsc154,one_observed_parent_reported,B_one_parent_identity,,"No real individual-level trio ground truth is available; tier labels describe relative identity stability conditional on the eligible candidate panel, not absolute parent presence. Blank fields mean unresolved or unsequenced rather than biological absence.",all_marker_phase_invariant_plus_reset_aware_linkage_parent_GL_conditioned,tier_B_or_better,B_one_parent_identity,B,C,0.53,0.74075,0.7110000000000001,fAulAsc157+fAulAsc154:0.530;fAulAsc157+fAulAsc153:0.211;fAulAsc158+fAulAsc154:0.181;fAulAsc158+fAulAsc153:0.078,fAulAsc157:0.741;fAulAsc158:0.259,fAulAsc154:0.711;fAulAsc153:0.289,zero_parent,False,1.0,,tier_B,independently_supplied_by_cross_users,False,parent identities ranked within an independently guaranteed complete 14-pair recorded-F1 candidate panel
2021cicX11218812,2021cicX11218812,fAulAsc18,AA18,sequenced_individual,F2,F2,,M,,,,,2021cicX11218976,2021cicX11218972,fAulAsc158,fAulAsc154,observed_parent_identity_unresolved,C_complete_working_hypothesis,,"No real individual-level trio ground truth is available; tier labels describe relative identity stability conditional on the eligible candidate panel, not absolute parent presence. Blank fields mean unresolved or unsequenced rather than biological absence.",all_marker_phase_invariant_plus_reset_aware_linkage_parent_GL_conditioned,tier_B_or_better,C_complete_working_hypothesis,C,C,0.4585,0.694,0.50275,fAulAsc158+fAulAsc154:0.459;fAulAsc157+fAulAsc153:0.262;fAulAsc158+fAulAsc153:0.235,fAulAsc158:0.694;fAulAsc157:0.306,fAulAsc154:0.503;fAulAsc153:0.497,zero_parent,False,2.0,,tier_B,independently_supplied_by_cross_users,False,parent identities ranked within an independently guaranteed complete 14-pair recorded-F1 candidate panel
2021cicX11218813,2021cicX11218813,fAulAsc19,AA19,sequenced_individual,F2,F2,,M,2021cicX11218975,2021cicX11218972,fAulAsc157,fAulAsc154,2021cicX11218975,2021cicX11218972,fAulAsc157,fAulAsc154,two_observed_parent_working_hypothesis,B_exact_pair,,"No real individual-level trio ground truth is available; tier labels describe relative identity stability conditional on the eligible candidate panel, not absolute parent presence. Blank fields mean unresolved or unsequenced rather than biological absence.",all_marker_phase_invariant_plus_reset_aware_linkage_parent_GL_conditioned,tier_B_or_better,B_exact_pair,B,B,0.56075,0.5612499999999999,0.8819999999999999,fAulAsc157+fAulAsc154:0.561;fAulAsc158+fAulAsc154:0.321;fAulAsc158+fAulAsc153:0.117,fAulAsc157:0.561;fAulAsc158:0.439,fAulAsc154:0.882;fAulAsc153:0.118,zero_parent,False,0.0,,tier_B,independently_supplied_by_cross_users,False,parent identities ranked within an independently guaranteed complete 14-pair recorded-F1 candidate panel
2021cicX11218814,2021cicX11218814,fAulAsc20,AA20,sequenced_individual,F2,F2,,M,,2021cicX11218972,,fAulAsc154,2021cicX11218975,2021cicX11218972,fAulAsc157,fAulAsc154,one_observed_parent_reported,B_one_parent_identity,,"No real individual-level trio ground truth is available; tier labels describe relative identity stability conditional on the eligible candidate panel, not absolute parent presence. Blank fields mean unresolved or unsequenced rather than biological absence.",all_marker_phase_invariant_plus_reset_aware_linkage_parent_GL_conditioned,tier_B_or_better,B_one_parent_identity,C,B,0.44925,0.44925,0.82975,fAulAsc157+fAulAsc154:0.449;fAulAsc158+fAulAsc154:0.381;fAulAsc158+fAulAsc153:0.168,fAulAsc158:0.549;fAulAsc157:0.449,fAulAsc154:0.830;fAulAsc153:0.170,zero_parent,False,1.0,,tier_B,independently_supplied_by_cross_users,False,parent identities ranked within an independently guaranteed complete 14-pair recorded-F1 candidate panel
2021cicX11218815,2021cicX11218815,fAulAsc21,AA21,sequenced_individual,F2,F2,,M,2021cicX11218969,2021cicX11218972,fAulAsc151,fAulAsc154,2021cicX11218969,2021cicX11218972,fAulAsc151,fAulAsc154,two_observed_parent_working_hypothesis,B_exact_pair,,"No real individual-level trio ground truth is available; tier labels describe relative identity stability conditional on the eligible candidate panel, not absolute parent presence. Blank fields mean unresolved or unsequenced rather than biological absence.",all_marker_phase_invariant_plus_reset_aware_linkage_parent_GL_conditioned,tier_B_or_better,B_exact_pair,B,B,0.699,0.85225,0.7579999999999999,fAulAsc151+fAulAsc154:0.699;fAulAsc151+fAulAsc153:0.153;fAulAsc152+fAulAsc153:0.075;fAulAsc155+fAulAsc154:0.035,fAulAsc151:0.852;fAulAsc152:0.076;fAulAsc155:0.035,fAulAsc154:0.758;fAulAsc153:0.242,zero_parent,False,0.0,,tier_B,independently_supplied_by_cross_users,False,parent identities ranked within an independently guaranteed complete 14-pair recorded-F1 candidate panel
2021cicX11218816,2021cicX11218816,fAulAsc22,AA22,sequenced_individual,F2,F2,,M,2021cicX11218976,,fAulAsc158,,2021cicX11218976,2021cicX11218972,fAulAsc158,fAulAsc154,one_observed_parent_reported,B_one_parent_identity,,"No real individual-level trio ground truth is available; tier labels describe relative identity stability conditional on the eligible candidate panel, not absolute parent presence. Blank fields mean unresolved or unsequenced rather than biological absence.",all_marker_phase_invariant_plus_reset_aware_linkage_parent_GL_conditioned,tier_B_or_better,B_one_parent_identity,B,C,0.3565,0.60775,0.4997499999999999,fAulAsc158+fAulAsc154:0.356;fAulAsc158+fAulAsc153:0.251;fAulAsc157+fAulAsc153:0.249;fAulAsc157+fAulAsc154:0.143,fAulAsc158:0.608;fAulAsc157:0.392,fAulAsc153:0.500;fAulAsc154:0.500,zero_parent,False,1.0,,tier_B,independently_supplied_by_cross_users,False,parent identities ranked within an independently guaranteed complete 14-pair recorded-F1 candidate panel
2021cicX11218817,2021cicX11218817,fAulAsc23,AA23,sequenced_individual,F2,F2,,M,2021cicX11218969,2021cicX11218972,fAulAsc151,fAulAsc154,2021cicX11218969,2021cicX11218972,fAulAsc151,fAulAsc154,two_observed_parent_working_hypothesis,A_exact_pair,,"No real individual-level trio ground truth is available; tier labels describe relative identity stability conditional on the eligible candidate panel, not absolute parent presence. Blank fields mean unresolved or unsequenced rather than biological absence.",all_marker_phase_invariant_plus_reset_aware_linkage_parent_GL_conditioned,tier_B_or_better,A_exact_pair,A,A,1.0,1.0,1.0,fAulAsc151+fAulAsc154:1.000,fAulAsc151:1.000,fAulAsc154:1.000,two_parent,False,0.0,,tier_B,independently_supplied_by_cross_users,False,parent identities ranked within an independently guaranteed complete 14-pair recorded-F1 candidate panel
2021cicX11218818,2021cicX11218818,fAulAsc24,AA24,sequenced_individual,F2,F2,,M,2021cicX11218969,2021cicX11218971,fAulAsc151,fAulAsc153,2021cicX11218969,2021cicX11218971,fAulAsc151,fAulAsc153,two_observed_parent_working_hypothesis,B_both_parent_identities_pair_ambiguous,,"No real individual-level trio ground truth is available; tier labels describe relative identity stability conditional on the eligible candidate panel, not absolute parent presence. Blank fields mean unresolved or unsequenced rather than biological absence.",all_marker_phase_invariant_plus_reset_aware_linkage_parent_GL_conditioned,tier_B_or_better,B_both_parent_identities_pair_ambiguous,B,B,0.44125,0.7222500000000001,0.5185,fAulAsc151+fAulAsc153:0.441;fAulAsc151+fAulAsc154:0.281;fAulAsc155+fAulAsc154:0.184;fAulAsc152+fAulAsc153:0.043;fAulAsc158+fAulAsc153:0.022,fAulAsc151:0.722;fAulAsc155:0.196;fAulAsc152:0.043,fAulAsc153:0.518;fAulAsc154:0.481,zero_parent,False,0.0,,tier_B,independently_supplied_by_cross_users,False,parent identities ranked within an independently guaranteed complete 14-pair recorded-F1 candidate panel
2021cicX11218819,2021cicX11218819,fAulAsc25,AA25,sequenced_individual,F2,F2,,M,2021cicX11218976,2021cicX11218971,fAulAsc158,fAulAsc153,2021cicX11218976,2021cicX11218971,fAulAsc158,fAulAsc153,two_observed_parent_working_hypothesis,B_exact_pair,,"No real individual-level trio ground truth is available; tier labels describe relative identity stability conditional on the eligible candidate panel, not absolute parent presence. Blank fields mean unresolved or unsequenced rather than biological absence.",all_marker_phase_invariant_plus_reset_aware_linkage_parent_GL_conditioned,tier_B_or_better,B_exact_pair,B,B,0.628,0.94775,0.628,fAulAsc158+fAulAsc153:0.628;fAulAsc158+fAulAsc154:0.320;fAulAsc157+fAulAsc154:0.052,fAulAsc158:0.948;fAulAsc157:0.052,fAulAsc153:0.628;fAulAsc154:0.372,zero_parent,False,0.0,,tier_B,independently_supplied_by_cross_users,False,parent identities ranked within an independently guaranteed complete 14-pair recorded-F1 candidate panel
2021cicX11218820,2021cicX11218820,fAulAsc26,AA26,sequenced_individual,F2,F2,,M,2021cicX11218976,2021cicX11218971,fAulAsc158,fAulAsc153,2021cicX11218976,2021cicX11218971,fAulAsc158,fAulAsc153,two_observed_parent_working_hypothesis,B_exact_pair,,"No real individual-level trio ground truth is available; tier labels describe relative identity stability conditional on the eligible candidate panel, not absolute parent presence. Blank fields mean unresolved or unsequenced rather than biological absence.",all_marker_phase_invariant_plus_reset_aware_linkage_parent_GL_conditioned,tier_B_or_better,B_exact_pair,B,B,0.5365,0.8654999999999999,0.5435,fAulAsc158+fAulAsc153:0.536;fAulAsc158+fAulAsc154:0.329;fAulAsc157+fAulAsc154:0.119,fAulAsc158:0.865;fAulAsc157:0.124,fAulAsc153:0.543;fAulAsc154:0.457,zero_parent,False,0.0,,tier_B,independently_supplied_by_cross_users,False,parent identities ranked within an independently guaranteed complete 14-pair recorded-F1 candidate panel
2021cicX11218821,2021cicX11218821,fAulAsc27,AA27,sequenced_individual,F2,F2,,M,,2021cicX11218972,,fAulAsc154,2021cicX11218975,2021cicX11218972,fAulAsc157,fAulAsc154,one_observed_parent_reported,B_one_parent_identity,,"No real individual-level trio ground truth is available; tier labels describe relative identity stability conditional on the eligible candidate panel, not absolute parent presence. Blank fields mean unresolved or unsequenced rather than biological absence.",all_marker_phase_invariant_plus_reset_aware_linkage_parent_GL_conditioned,tier_B_or_better,B_one_parent_identity,C,B,0.549,0.552,0.93325,fAulAsc157+fAulAsc154:0.549;fAulAsc158+fAulAsc154:0.384;fAulAsc158+fAulAsc153:0.064,fAulAsc157:0.552;fAulAsc158:0.448,fAulAsc154:0.933;fAulAsc153:0.067,zero_parent,False,1.0,,tier_B,independently_supplied_by_cross_users,False,parent identities ranked within an independently guaranteed complete 14-pair recorded-F1 candidate panel
