Sample,Total_sites,Valid_sites,Correct_sites,Accuracy,Track1_accuracy,Track2_accuracy,Founder_accuracy,Founder_Track1_accuracy,Founder_Track2_accuracy,Direct_matches,Flipped_matches,Dominant_phase,Contig
F2_11,171179,171178,171178,1.0,1.0,1.0,0.9998890044281391,1.0,0.9998890044281391,171179,138006,Direct,chr1
F2_12,171179,171178,171178,1.0,1.0,1.0,0.9999591068945776,0.9999824743833904,0.9999766325111872,133549,171179,Flipped,chr1
F2_13,171179,171178,171178,1.0,1.0,1.0,0.9999532650223744,1.0,0.9999532650223744,171179,136705,Direct,chr1
F2_14,171179,171178,171178,1.0,1.0,1.0,0.9999941581277968,0.9999941581277968,1.0,137328,171179,Flipped,chr1
F2_15,171179,171178,171178,1.0,1.0,1.0,0.9999240556613583,0.9999240556613583,1.0,171179,139921,Direct,chr1
F2_16,171179,171178,171178,1.0,1.0,1.0,0.999684538901027,0.999684538901027,1.0,140622,171179,Flipped,chr1
F2_17,171179,171178,171178,1.0,1.0,1.0,0.9999883162555936,1.0,0.9999883162555936,171179,136260,Direct,chr1
F2_18,171179,171178,171178,1.0,1.0,1.0,1.0,1.0,1.0,137047,171179,Flipped,chr1
F2_19,171179,171178,171178,1.0,1.0,1.0,0.9985862669268247,0.9999824743833904,0.9986037925434343,129288,171179,Flipped,chr1
F2_20,171179,171178,171178,1.0,1.0,1.0,0.9669700545630864,1.0,0.9669700545630864,171179,135681,Direct,chr1
F2_21,171179,171178,171178,1.0,1.0,1.0,0.9942574396242507,0.9942632814964539,0.9999941581277968,136177,171179,Flipped,chr1
F2_22,171179,171178,171178,1.0,1.0,1.0,0.999970790638984,0.9999941581277968,0.9999766325111872,171179,129895,Direct,chr1
F2_23,171179,171178,171178,1.0,1.0,1.0,1.0,1.0,1.0,128652,171179,Flipped,chr1
F2_24,171179,171178,171178,1.0,1.0,1.0,0.998621318160044,1.0,0.998621318160044,171179,130571,Direct,chr1
F2_25,171179,171178,171178,1.0,1.0,1.0,1.0,1.0,1.0,171179,171179,Direct,chr1
F2_26,171179,171178,171178,1.0,1.0,1.0,0.9999941581277968,1.0,0.9999941581277968,171179,144143,Direct,chr1
F2_27,171179,171178,171178,1.0,1.0,1.0,1.0,1.0,1.0,171179,131637,Direct,chr1
F2_28,171179,171178,171178,1.0,1.0,1.0,0.9999883162555936,1.0,0.9999883162555936,171179,137200,Direct,chr1
F2_29,171179,171178,171175,0.9999824743833904,1.0,0.9999824743833904,0.9039420953627219,0.9999941581277968,0.9039479372349251,131737,171176,Flipped,chr1
F2_30,171179,171178,171178,1.0,1.0,1.0,1.0,1.0,1.0,140671,171179,Flipped,chr1
F2_31,171179,171178,171178,1.0,1.0,1.0,1.0,1.0,1.0,171179,149412,Direct,chr1
F2_32,171179,171178,171178,1.0,1.0,1.0,0.9999766325111872,0.9999883162555936,0.9999883162555936,171179,131863,Direct,chr1
F2_33,171179,171178,171178,1.0,1.0,1.0,0.998621318160044,1.0,0.998621318160044,136885,171179,Flipped,chr1
F2_34,171179,171178,171178,1.0,1.0,1.0,0.999801376345091,0.999801376345091,1.0,171179,140867,Direct,chr1
F2_35,171179,171178,171178,1.0,1.0,1.0,0.998621318160044,0.998621318160044,1.0,158112,171179,Flipped,chr1
F2_36,171179,171178,171178,1.0,1.0,1.0,1.0,1.0,1.0,171179,129512,Direct,chr1
F2_37,171179,171178,171178,1.0,1.0,1.0,1.0,1.0,1.0,171179,131637,Direct,chr1
F2_38,171179,171178,171178,1.0,1.0,1.0,0.9980721821729428,0.9980721821729428,1.0,140777,171179,Flipped,chr1
F2_39,171179,171178,171178,1.0,1.0,1.0,0.9991587704027387,0.9992872915912091,0.9998714788115295,135170,171179,Flipped,chr1
F2_40,171179,171178,171178,1.0,1.0,1.0,0.9999883162555936,0.9999883162555936,1.0,139553,171179,Flipped,chr1
F2_41,171179,171178,171178,1.0,1.0,1.0,0.9999824743833904,1.0,0.9999824743833904,128281,171179,Flipped,chr1
F2_42,171179,171178,171178,1.0,1.0,1.0,0.9986622112654664,0.9999941581277968,0.9986680531376696,142443,171179,Flipped,chr1
F2_43,171179,171178,171178,1.0,1.0,1.0,0.998621318160044,1.0,0.998621318160044,134966,171179,Flipped,chr1
F2_44,171179,171178,171178,1.0,1.0,1.0,1.0,1.0,1.0,171179,156547,Direct,chr1
F2_45,171179,171178,171178,1.0,1.0,1.0,0.9903901202257299,0.9999941581277968,0.9903959620979331,171179,141357,Direct,chr1
F2_46,171179,171178,171178,1.0,1.0,1.0,0.9998714788115295,0.9998831625559359,0.9999883162555936,129931,171179,Flipped,chr1
F2_47,171179,171178,171178,1.0,1.0,1.0,0.999801376345091,0.9999240556613583,0.9998773206837327,171179,137882,Direct,chr1
F2_48,171179,171178,171178,1.0,1.0,1.0,0.9999941581277968,0.9999941581277968,1.0,138988,171179,Flipped,chr1
F2_49,171179,171178,171178,1.0,1.0,1.0,0.9998072182172942,0.9999883162555936,0.9998189019617006,171179,134699,Direct,chr1
F2_50,171179,171178,171178,1.0,1.0,1.0,0.9986154762878408,0.9999941581277968,0.998621318160044,171179,161833,Direct,chr1
F2_51,171179,171178,171178,1.0,1.0,1.0,0.9999766325111872,1.0,0.9999766325111872,134454,171179,Flipped,chr1
F2_52,171179,171178,171178,1.0,1.0,1.0,0.998621318160044,1.0,0.998621318160044,171179,166355,Direct,chr1
F2_53,171179,171178,171178,1.0,1.0,1.0,0.9862365490892521,1.0,0.9862365490892521,171179,136101,Direct,chr1
F2_54,171179,171178,171178,1.0,1.0,1.0,0.9916402808772156,0.9916402808772156,1.0,171179,147017,Direct,chr1
F2_55,171179,171178,171178,1.0,1.0,1.0,0.999970790638984,1.0,0.999970790638984,132844,171179,Flipped,chr1
F2_56,171179,171178,171175,0.9999824743833904,1.0,0.9999824743833904,0.9039479372349251,1.0,0.9039479372349251,134142,171176,Flipped,chr1
F2_57,171179,171178,171178,1.0,1.0,1.0,0.9999883162555936,1.0,0.9999883162555936,171179,136489,Direct,chr1
F2_58,171179,171178,171178,1.0,1.0,1.0,0.9917162252158572,1.0,0.9917162252158572,132698,171179,Flipped,chr1
F2_59,171179,171178,171178,1.0,1.0,1.0,0.9997604832396686,0.9999591068945776,0.999801376345091,171179,139810,Direct,chr1
F2_60,171179,171178,171178,1.0,1.0,1.0,0.9702531867412868,0.9999941581277968,0.97025902861349,171179,158021,Direct,chr1
F2_61,171179,171178,171178,1.0,1.0,1.0,1.0,1.0,1.0,171179,130640,Direct,chr1
F2_62,171179,171178,171175,0.9999824743833904,0.9999824743833904,1.0,0.9039479372349251,0.9039479372349251,1.0,140132,171176,Flipped,chr1
F2_63,171179,171178,171178,1.0,1.0,1.0,0.9999941581277968,0.9999941581277968,1.0,141646,171179,Flipped,chr1
F2_64,171179,171178,171178,1.0,1.0,1.0,0.9999824743833904,1.0,0.9999824743833904,131431,171179,Flipped,chr1
F2_65,171179,171178,171178,1.0,1.0,1.0,1.0,1.0,1.0,171179,148511,Direct,chr1
F2_66,171179,171178,171178,1.0,1.0,1.0,1.0,1.0,1.0,132706,171179,Flipped,chr1
F2_67,171179,171178,171178,1.0,1.0,1.0,0.9590601595999486,1.0,0.9590601595999486,171179,138803,Direct,chr1
F2_68,171179,171178,171178,1.0,1.0,1.0,0.9996436457956046,0.9996436457956046,1.0,171179,137160,Direct,chr1
F2_69,171179,171178,171178,1.0,1.0,1.0,0.9946955800394911,0.9986154762878408,0.9960801037516503,152993,171179,Flipped,chr1
F2_70,171179,171178,171178,1.0,1.0,1.0,0.9999941581277968,0.9999941581277968,1.0,171179,133858,Direct,chr1
F2_71,171179,171178,171178,1.0,1.0,1.0,0.9999883162555936,0.9999883162555936,1.0,171179,160882,Direct,chr1
F2_72,171179,171178,171178,1.0,1.0,1.0,1.0,1.0,1.0,171179,139938,Direct,chr1
F2_73,171179,171178,171178,1.0,1.0,1.0,0.9377314841860519,0.9378074285246936,0.9999240556613583,131175,171179,Flipped,chr1
F2_74,171179,171178,171175,0.9999824743833904,1.0,0.9999824743833904,0.9039479372349251,1.0,0.9039479372349251,133024,171176,Flipped,chr1
F2_75,171179,171178,171178,1.0,1.0,1.0,0.980581616796551,1.0,0.980581616796551,130052,171179,Flipped,chr1
F2_76,171179,171178,171178,1.0,1.0,1.0,0.998253280211242,1.0,0.998253280211242,171179,142388,Direct,chr1
F2_77,171179,171178,171178,1.0,1.0,1.0,0.9968570727546764,1.0,0.9968570727546764,171179,138336,Direct,chr1
F2_78,171179,171178,171178,1.0,1.0,1.0,0.998621318160044,0.998621318160044,1.0,171179,164426,Direct,chr1
F2_79,171179,171178,171178,1.0,1.0,1.0,0.9999941581277968,1.0,0.9999941581277968,171179,157995,Direct,chr1
F2_80,171179,171178,171178,1.0,1.0,1.0,0.9999941581277968,1.0,0.9999941581277968,140623,171179,Flipped,chr1
F2_81,171179,171178,171178,1.0,1.0,1.0,1.0,1.0,1.0,171179,132810,Direct,chr1
F2_82,171179,171178,171178,1.0,1.0,1.0,1.0,1.0,1.0,152266,171179,Flipped,chr1
F2_83,171179,171178,171178,1.0,1.0,1.0,0.9999883162555936,0.9999883162555936,1.0,136231,171179,Flipped,chr1
F2_84,171179,171178,171178,1.0,1.0,1.0,0.9969680683265373,1.0,0.9969680683265373,171179,163172,Direct,chr1
F2_85,171179,171178,171178,1.0,1.0,1.0,0.9984110107607286,0.998621318160044,0.9997896926006846,171179,146617,Direct,chr1
F2_86,171179,171178,171178,1.0,1.0,1.0,0.9999240556613583,0.9999883162555936,0.9999357394057647,171179,144776,Direct,chr1
F2_87,171179,171178,171178,1.0,1.0,1.0,0.9986037925434343,0.9986096344156375,0.9999941581277968,134158,171179,Flipped,chr1
F2_88,171179,171178,171178,1.0,1.0,1.0,0.998621318160044,0.998621318160044,1.0,171179,139669,Direct,chr1
F2_89,171179,171178,171178,1.0,1.0,1.0,1.0,1.0,1.0,144566,171179,Flipped,chr1
F2_90,171179,171178,171178,1.0,1.0,1.0,0.9985453738214023,0.998621318160044,0.9999240556613583,171179,155104,Direct,chr1
F2_91,171179,171178,171178,1.0,1.0,1.0,1.0,1.0,1.0,171179,132215,Direct,chr1
F2_92,171179,171178,171175,0.9999824743833904,0.9999824743833904,1.0,0.9039420953627219,0.9039479372349251,0.9999941581277968,139214,171176,Flipped,chr1
F2_93,171179,171178,171178,1.0,1.0,1.0,0.9986446856488568,1.0,0.9986446856488568,139357,171179,Flipped,chr1
F2_94,171179,171178,171175,0.9999824743833904,0.9999824743833904,1.0,0.9039362534905186,0.9039362534905186,1.0,132407,171176,Flipped,chr1
F2_95,171179,171178,171178,1.0,1.0,1.0,0.9999824743833904,0.9999824743833904,1.0,171179,136755,Direct,chr1
F2_96,171179,171178,171178,1.0,1.0,1.0,0.9998597950671231,0.9999649487667808,0.9998948463003423,128015,171179,Flipped,chr1
F2_97,171179,171178,171178,1.0,1.0,1.0,0.9999883162555936,1.0,0.9999883162555936,171179,133503,Direct,chr1
F2_98,171179,171178,171178,1.0,1.0,1.0,0.9999883162555936,0.9999941581277968,0.9999941581277968,171179,144974,Direct,chr1
F2_99,171179,171178,171178,1.0,1.0,1.0,0.9929196508897171,0.993001437100562,0.9999182137891551,127593,171179,Flipped,chr1
F3_0,171179,171178,171178,1.0,1.0,1.0,0.9996903807732302,1.0,0.9996903807732302,133940,171179,Flipped,chr1
F3_1,171179,171178,171178,1.0,1.0,1.0,0.9999649487667808,0.9999649487667808,1.0,133439,171179,Flipped,chr1
F3_2,171179,171178,171178,1.0,1.0,1.0,0.9999065300447487,0.9999065300447487,1.0,171179,141948,Direct,chr1
F3_3,171179,171178,171177,0.9999941581277968,0.9999941581277968,1.0,0.9985103225881831,0.9985453738214023,0.9999649487667808,135679,171178,Flipped,chr1
F3_4,171179,171178,171175,0.9999824743833904,0.9999824743833904,1.0,0.8595380247461707,0.9039479372349251,0.9555900875112456,171176,132018,Direct,chr1
F3_5,171179,171178,171178,1.0,1.0,1.0,0.9999941581277968,1.0,0.9999941581277968,171179,137837,Direct,chr1
F3_6,171179,171178,171178,1.0,1.0,1.0,0.9973653156363551,0.9987439974763113,0.998621318160044,144918,171179,Flipped,chr1
F3_7,171179,171178,171178,1.0,1.0,1.0,0.999941581277968,0.999941581277968,1.0,134863,171179,Flipped,chr1
F3_8,171179,171178,171178,1.0,1.0,1.0,0.9991646122749419,0.9993515521854444,0.9998130600894974,134388,171179,Flipped,chr1
F3_9,171179,171178,171178,1.0,1.0,1.0,0.9999941581277968,1.0,0.9999941581277968,171179,142230,Direct,chr1
F3_10,171179,171178,171178,1.0,1.0,1.0,0.9999766325111872,0.9999941581277968,0.9999824743833904,130241,171179,Flipped,chr1
F3_11,171179,171178,171178,1.0,1.0,1.0,0.9985044807159799,0.9999883162555936,0.9985161644603863,154183,171179,Flipped,chr1
F3_12,171179,171178,171178,1.0,1.0,1.0,0.9996786970288238,0.9997429576230591,0.9999357394057647,171179,141931,Direct,chr1
F3_13,171179,171178,171178,1.0,1.0,1.0,0.998621318160044,0.998621318160044,1.0,171179,133155,Direct,chr1
F3_14,171179,171178,171178,1.0,1.0,1.0,0.9899753472993025,0.9982766477000549,0.9916986995992476,171179,142292,Direct,chr1
F3_15,171179,171178,171178,1.0,1.0,1.0,0.9999883162555936,1.0,0.9999883162555936,157335,171179,Flipped,chr1
F3_16,171179,171178,171178,1.0,1.0,1.0,0.9999883162555936,0.9999941581277968,0.9999941581277968,171179,140871,Direct,chr1
F3_17,171179,171178,171178,1.0,1.0,1.0,0.9992756078468027,0.9992872915912091,0.9999883162555936,133692,171179,Flipped,chr1
F3_18,171179,171178,171178,1.0,1.0,1.0,0.9999883162555936,0.9999941581277968,0.9999941581277968,132549,171179,Flipped,chr1
F3_19,171179,171178,171178,1.0,1.0,1.0,0.9999941581277968,1.0,0.9999941581277968,132233,171179,Flipped,chr1
F3_20,171179,171178,171178,1.0,1.0,1.0,0.9997780088562782,0.9997896926006846,0.9999883162555936,132620,171179,Flipped,chr1
F3_21,171179,171178,171178,1.0,1.0,1.0,0.9999824743833904,1.0,0.9999824743833904,139414,171179,Flipped,chr1
F3_22,171179,171178,171178,1.0,1.0,1.0,0.9978385072848146,1.0,0.9978385072848146,171179,146015,Direct,chr1
F3_23,171179,171178,171178,1.0,1.0,1.0,0.9999649487667808,0.9999883162555936,0.9999766325111872,171179,146817,Direct,chr1
F3_24,171179,171178,171178,1.0,1.0,1.0,0.9986037925434343,0.9999941581277968,0.9986096344156375,133097,171179,Flipped,chr1
F3_25,171179,171178,171178,1.0,1.0,1.0,0.9983000151888677,0.9986622112654664,0.9996319620511982,146406,171179,Flipped,chr1
F3_26,171179,171178,171178,1.0,1.0,1.0,0.97025902861349,1.0,0.97025902861349,171179,130138,Direct,chr1
F3_27,171179,171178,171178,1.0,1.0,1.0,0.9986154762878408,0.9986154762878408,1.0,137331,171179,Flipped,chr1
F3_28,171179,171178,171178,1.0,1.0,1.0,0.9999766325111872,0.9999883162555936,0.9999883162555936,171179,136589,Direct,chr1
F3_29,171179,171178,171178,1.0,1.0,1.0,0.9998247438339039,0.9998422694505135,0.9999824743833904,132660,171179,Flipped,chr1
F3_30,171179,171178,171178,1.0,1.0,1.0,1.0,1.0,1.0,171179,131556,Direct,chr1
F3_31,171179,171178,171178,1.0,1.0,1.0,0.9999123719169519,0.9999357394057647,0.9999766325111872,171179,152350,Direct,chr1
F3_32,171179,171178,171178,1.0,1.0,1.0,0.9958756382245382,0.9958814800967414,0.9999941581277968,134682,171179,Flipped,chr1
F3_33,171179,171178,171178,1.0,1.0,1.0,0.926030214163035,0.9669700545630864,0.9590601595999486,171179,147583,Direct,chr1
F3_34,171179,171178,171178,1.0,1.0,1.0,0.9995618595847597,1.0,0.9995618595847597,133016,171179,Flipped,chr1
F3_35,171179,171178,171178,1.0,1.0,1.0,0.9981598102559909,0.9998773206837327,0.9982824895722581,132991,171179,Flipped,chr1
F3_36,171179,171178,171178,1.0,1.0,1.0,0.9999883162555936,0.9999883162555936,1.0,139360,171179,Flipped,chr1
F3_37,171179,171178,171178,1.0,1.0,1.0,0.9999941581277968,0.9999941581277968,1.0,134335,171179,Flipped,chr1
F3_38,171179,171178,171178,1.0,1.0,1.0,0.9999883162555936,0.9999883162555936,1.0,145950,171179,Flipped,chr1
F3_39,171179,171178,171178,1.0,1.0,1.0,0.9999941581277968,1.0,0.9999941581277968,148568,171179,Flipped,chr1
F3_40,171179,171178,171178,1.0,1.0,1.0,0.9998714788115295,0.9998773206837327,0.9999941581277968,130049,171179,Flipped,chr1
F3_41,171179,171178,171178,1.0,1.0,1.0,0.962197244973069,0.9999649487667808,0.9622322962062881,171179,129459,Direct,chr1
F3_42,171179,171178,171178,1.0,1.0,1.0,0.9526808351540502,0.9999883162555936,0.9526925188984566,150834,171179,Flipped,chr1
F3_43,171179,171178,171177,0.9999941581277968,0.9999941581277968,1.0,0.9804589374802837,0.9805640911799414,0.9998948463003423,138697,171178,Flipped,chr1
F3_44,171179,171178,171178,1.0,1.0,1.0,0.970889950811436,1.0,0.970889950811436,138860,171179,Flipped,chr1
F3_45,171179,171178,171178,1.0,1.0,1.0,0.9786654827139002,0.9999065300447487,0.9787589526691514,130947,171179,Flipped,chr1
F3_46,171179,171178,171178,1.0,1.0,1.0,0.9999824743833904,1.0,0.9999824743833904,129876,171179,Flipped,chr1
F3_47,171179,171178,171178,1.0,1.0,1.0,0.9975464136746545,0.9989017280257977,0.9986446856488568,139211,171179,Flipped,chr1
F3_48,171179,171178,171178,1.0,1.0,1.0,0.9998072182172942,0.9998831625559359,0.9999240556613583,143983,171179,Flipped,chr1
F3_49,171179,171178,171178,1.0,1.0,1.0,0.9999591068945776,0.9999824743833904,0.9999766325111872,171179,151716,Direct,chr1
F3_50,171179,171178,171178,1.0,1.0,1.0,0.9999941581277968,1.0,0.9999941581277968,171179,127413,Direct,chr1
F3_51,171179,171178,171178,1.0,1.0,1.0,0.9986096344156375,0.9999883162555936,0.998621318160044,171179,133015,Direct,chr1
F3_52,171179,171178,171178,1.0,1.0,1.0,0.9996728551566206,1.0,0.9996728551566206,131132,171179,Flipped,chr1
F3_53,171179,171178,171178,1.0,1.0,1.0,1.0,1.0,1.0,145168,171179,Flipped,chr1
F3_54,171179,171178,171178,1.0,1.0,1.0,0.9999591068945776,1.0,0.9999591068945776,137217,171179,Flipped,chr1
F3_55,171179,171178,171178,1.0,1.0,1.0,0.9986154762878408,0.998621318160044,0.9986154762878408,164659,171179,Flipped,chr1
F3_56,171179,171178,171178,1.0,1.0,1.0,0.9998948463003423,0.9999474231501712,0.9999474231501712,171179,134862,Direct,chr1
F3_57,171179,171178,171178,1.0,1.0,1.0,0.9667831146525838,0.9669700545630864,0.9998130600894974,171179,136143,Direct,chr1
F3_58,171179,171178,171178,1.0,1.0,1.0,0.9998247438339039,0.9999357394057647,0.9998890044281391,171179,137951,Direct,chr1
F3_59,171179,171178,171178,1.0,1.0,1.0,0.9954374978092979,0.998621318160044,0.996816179649254,137231,171179,Flipped,chr1
F3_60,171179,171178,171178,1.0,1.0,1.0,1.0,1.0,1.0,171179,140458,Direct,chr1
F3_61,171179,171178,171178,1.0,1.0,1.0,0.9999649487667808,0.9999649487667808,1.0,171179,146966,Direct,chr1
F3_62,171179,171178,171178,1.0,1.0,1.0,0.9999532650223744,1.0,0.9999532650223744,171179,127722,Direct,chr1
F3_63,171179,171178,171178,1.0,1.0,1.0,0.9999532650223744,1.0,0.9999532650223744,171179,131034,Direct,chr1
F3_64,171179,171178,171178,1.0,1.0,1.0,0.9867331082265245,0.9988900442813913,0.9878430639451331,130493,171179,Flipped,chr1
F3_65,171179,171178,171178,1.0,1.0,1.0,0.9999883162555936,1.0,0.9999883162555936,171179,127570,Direct,chr1
F3_66,171179,171178,171178,1.0,1.0,1.0,0.9942691233686571,0.9942749652408603,0.9999941581277968,171179,131270,Direct,chr1
F3_67,171179,171178,171178,1.0,1.0,1.0,0.9984402201217446,0.998481113227167,0.9999591068945776,147000,171179,Flipped,chr1
F3_68,171179,171178,171178,1.0,1.0,1.0,0.9986271600322472,0.9999824743833904,0.9986446856488568,149572,171179,Flipped,chr1
F3_69,171179,171178,171178,1.0,1.0,1.0,0.9999824743833904,0.9999883162555936,0.9999941581277968,144233,171179,Flipped,chr1
F3_70,171179,171178,171178,1.0,1.0,1.0,1.0,1.0,1.0,171179,140825,Direct,chr1
F3_71,171179,171178,171178,1.0,1.0,1.0,0.999970790638984,0.999970790638984,1.0,130529,171179,Flipped,chr1
F3_72,171179,171178,171178,1.0,1.0,1.0,0.999970790638984,1.0,0.999970790638984,171179,153651,Direct,chr1
F3_73,171179,171178,171178,1.0,1.0,1.0,0.9996319620511982,0.9996319620511982,1.0,171179,150828,Direct,chr1
F3_74,171179,171178,171178,1.0,1.0,1.0,1.0,1.0,1.0,171179,150357,Direct,chr1
F3_75,171179,171178,171178,1.0,1.0,1.0,0.9970673801539918,0.9972367944478847,0.9998305857061071,137924,171179,Flipped,chr1
F3_76,171179,171178,171178,1.0,1.0,1.0,0.9986622112654664,1.0,0.9986622112654664,171179,135082,Direct,chr1
F3_77,171179,171178,171178,1.0,1.0,1.0,0.9998773206837327,1.0,0.9998773206837327,171179,132164,Direct,chr1
F3_78,171179,171178,171178,1.0,1.0,1.0,0.9728177686384932,0.9999883162555936,0.9728294523828996,171179,136078,Direct,chr1
F3_79,171179,171178,171177,0.9999941581277968,0.9999941581277968,1.0,0.9999591068945776,0.9999766325111872,0.9999824743833904,148991,171178,Flipped,chr1
F3_80,171179,171178,171178,1.0,1.0,1.0,0.9999883162555936,1.0,0.9999883162555936,171179,163451,Direct,chr1
F3_81,171179,171178,171178,1.0,1.0,1.0,0.9999941581277968,1.0,0.9999941581277968,171179,138946,Direct,chr1
F3_82,171179,171178,171178,1.0,1.0,1.0,0.9999824743833904,0.9999824743833904,1.0,135508,171179,Flipped,chr1
F3_83,171179,171178,171178,1.0,1.0,1.0,0.9999883162555936,1.0,0.9999883162555936,132323,171179,Flipped,chr1
F3_84,171179,171178,171178,1.0,1.0,1.0,0.9999941581277968,1.0,0.9999941581277968,171179,138002,Direct,chr1
F3_85,171179,171178,171178,1.0,1.0,1.0,0.9998890044281391,1.0,0.9998890044281391,171179,136191,Direct,chr1
F3_86,171179,171178,171178,1.0,1.0,1.0,0.9999591068945776,0.9999766325111872,0.9999824743833904,146964,171179,Flipped,chr1
F3_87,171179,171178,171178,1.0,1.0,1.0,0.9998130600894974,0.9998189019617006,0.9999941581277968,127351,171179,Flipped,chr1
F3_88,171179,171178,171178,1.0,1.0,1.0,0.9999883162555936,1.0,0.9999883162555936,129707,171179,Flipped,chr1
F3_89,171179,171178,171178,1.0,1.0,1.0,0.9998597950671231,0.9999824743833904,0.9998773206837327,171179,130688,Direct,chr1
F3_90,171179,171178,171178,1.0,1.0,1.0,0.9700078281087523,0.9997604832396686,0.9702473448690836,171179,137598,Direct,chr1
F3_91,171179,171178,171177,0.9999941581277968,1.0,0.9999941581277968,0.9999240556613583,1.0,0.9999240556613583,135088,171178,Flipped,chr1
F3_92,171179,171178,171178,1.0,1.0,1.0,0.9986096344156375,0.9999941581277968,0.9986154762878408,171179,157418,Direct,chr1
F3_93,171179,171178,171178,1.0,1.0,1.0,0.9938718760588393,0.9999766325111872,0.9938952435476521,171179,136412,Direct,chr1
F3_94,171179,171178,171178,1.0,1.0,1.0,0.9999065300447487,0.9999123719169519,0.9999941581277968,171179,148219,Direct,chr1
F3_95,171179,171178,171178,1.0,1.0,1.0,0.9462430919861197,0.9999883162555936,0.9462430919861197,138437,171179,Flipped,chr1
F3_96,171179,171178,171178,1.0,1.0,1.0,1.0,1.0,1.0,129129,171179,Flipped,chr1
F3_97,171179,171178,171178,1.0,1.0,1.0,0.999941581277968,0.9999883162555936,0.9999532650223744,171179,152144,Direct,chr1
F3_98,171179,171178,171175,0.9999824743833904,0.9999824743833904,1.0,0.9039479372349251,0.9039479372349251,1.0,133390,171176,Flipped,chr1
F3_99,171179,171178,171178,1.0,1.0,1.0,0.9997429576230591,0.9999766325111872,0.9997663251118718,127771,171179,Flipped,chr1
F3_100,171179,171178,171178,1.0,1.0,1.0,0.9999766325111872,1.0,0.9999766325111872,171179,154808,Direct,chr1
F3_101,171179,171178,171178,1.0,1.0,1.0,0.9986271600322472,1.0,0.9986271600322472,140662,171179,Flipped,chr1
F3_102,171179,171178,171178,1.0,1.0,1.0,0.9823283365853088,0.9823283365853088,1.0,171179,143119,Direct,chr1
F3_103,171179,171178,171178,1.0,1.0,1.0,0.9999532650223744,0.9999532650223744,1.0,138055,171179,Flipped,chr1
F3_104,171179,171178,171178,1.0,1.0,1.0,0.9942515977520475,0.9942515977520475,1.0,133401,171179,Flipped,chr1
F3_105,171179,171178,171178,1.0,1.0,1.0,0.9999883162555936,0.9999883162555936,1.0,133246,171179,Flipped,chr1
F3_106,171179,171178,171178,1.0,1.0,1.0,1.0,1.0,1.0,171179,141016,Direct,chr1
