Sample,Total_sites,Valid_sites,Correct_sites,Accuracy,Track1_accuracy,Track2_accuracy,Founder_accuracy,Founder_Track1_accuracy,Founder_Track2_accuracy,Direct_matches,Flipped_matches,Dominant_phase,Contig,Generation,Track_avg,Phase_error_gap,Allele_founder_gap
F2_92,171179,171178,171175,0.9999824743833904,0.9999824743833904,1.0,0.9039420953627219,0.9039479372349251,0.9999941581277968,139214,171176,Flipped,chr1,F2,0.9999912371916952,-8.762808304862979e-06,0.09604037902066853
F2_93,171179,171178,171178,1.0,1.0,1.0,0.9986446856488568,1.0,0.9986446856488568,139357,171179,Flipped,chr1,F2,1.0,0.0,0.001355314351143222
F2_94,171179,171178,171175,0.9999824743833904,0.9999824743833904,1.0,0.9039362534905186,0.9039362534905186,1.0,132407,171176,Flipped,chr1,F2,0.9999912371916952,-8.762808304862979e-06,0.09604622089287174
F2_96,171179,171178,171178,1.0,1.0,1.0,0.9998597950671231,0.9999649487667808,0.9998948463003423,128015,171179,Flipped,chr1,F2,1.0,0.0,0.00014020493287691949
F2_99,171179,171178,171178,1.0,1.0,1.0,0.9929196508897171,0.993001437100562,0.9999182137891551,127593,171179,Flipped,chr1,F2,1.0,0.0,0.00708034911028288
F3_0,171179,171178,171178,1.0,1.0,1.0,0.9996903807732302,1.0,0.9996903807732302,133940,171179,Flipped,chr1,F3,1.0,0.0,0.00030961922676975284
F3_1,171179,171178,171178,1.0,1.0,1.0,0.9999649487667808,0.9999649487667808,1.0,133439,171179,Flipped,chr1,F3,1.0,0.0,3.505123321922987e-05
F3_3,171179,171178,171177,0.9999941581277968,0.9999941581277968,1.0,0.9985103225881831,0.9985453738214023,0.9999649487667808,135679,171178,Flipped,chr1,F3,0.9999970790638983,-2.920936101546978e-06,0.0014838355396137315
F3_6,171179,171178,171178,1.0,1.0,1.0,0.9973653156363551,0.9987439974763113,0.998621318160044,144918,171179,Flipped,chr1,F3,1.0,0.0,0.0026346843636448902
F3_7,171179,171178,171178,1.0,1.0,1.0,0.999941581277968,0.999941581277968,1.0,134863,171179,Flipped,chr1,F3,1.0,0.0,5.8418722032049786e-05
F3_8,171179,171178,171178,1.0,1.0,1.0,0.9991646122749419,0.9993515521854444,0.9998130600894974,134388,171179,Flipped,chr1,F3,1.0,0.0,0.0008353877250580899
F3_10,171179,171178,171178,1.0,1.0,1.0,0.9999766325111872,0.9999941581277968,0.9999824743833904,130241,171179,Flipped,chr1,F3,1.0,0.0,2.3367488812819914e-05
F3_11,171179,171178,171178,1.0,1.0,1.0,0.9985044807159799,0.9999883162555936,0.9985161644603863,154183,171179,Flipped,chr1,F3,1.0,0.0,0.0014955192840201414
F3_15,171179,171178,171178,1.0,1.0,1.0,0.9999883162555936,1.0,0.9999883162555936,157335,171179,Flipped,chr1,F3,1.0,0.0,1.1683744406409957e-05
F3_17,171179,171178,171178,1.0,1.0,1.0,0.9992756078468027,0.9992872915912091,0.9999883162555936,133692,171179,Flipped,chr1,F3,1.0,0.0,0.0007243921531973063
F3_18,171179,171178,171178,1.0,1.0,1.0,0.9999883162555936,0.9999941581277968,0.9999941581277968,132549,171179,Flipped,chr1,F3,1.0,0.0,1.1683744406409957e-05
F3_19,171179,171178,171178,1.0,1.0,1.0,0.9999941581277968,1.0,0.9999941581277968,132233,171179,Flipped,chr1,F3,1.0,0.0,5.8418722032049786e-06
F3_20,171179,171178,171178,1.0,1.0,1.0,0.9997780088562782,0.9997896926006846,0.9999883162555936,132620,171179,Flipped,chr1,F3,1.0,0.0,0.00022199114372178919
F3_21,171179,171178,171178,1.0,1.0,1.0,0.9999824743833904,1.0,0.9999824743833904,139414,171179,Flipped,chr1,F3,1.0,0.0,1.7525616609614936e-05
F3_24,171179,171178,171178,1.0,1.0,1.0,0.9986037925434343,0.9999941581277968,0.9986096344156375,133097,171179,Flipped,chr1,F3,1.0,0.0,0.0013962074565656568
F3_25,171179,171178,171178,1.0,1.0,1.0,0.9983000151888677,0.9986622112654664,0.9996319620511982,146406,171179,Flipped,chr1,F3,1.0,0.0,0.0016999848111323157
F3_27,171179,171178,171178,1.0,1.0,1.0,0.9986154762878408,0.9986154762878408,1.0,137331,171179,Flipped,chr1,F3,1.0,0.0,0.0013845237121592469
F3_29,171179,171178,171178,1.0,1.0,1.0,0.9998247438339039,0.9998422694505135,0.9999824743833904,132660,171179,Flipped,chr1,F3,1.0,0.0,0.00017525616609614936
F3_32,171179,171178,171178,1.0,1.0,1.0,0.9958756382245382,0.9958814800967414,0.9999941581277968,134682,171179,Flipped,chr1,F3,1.0,0.0,0.004124361775461827
F3_34,171179,171178,171178,1.0,1.0,1.0,0.9995618595847597,1.0,0.9995618595847597,133016,171179,Flipped,chr1,F3,1.0,0.0,0.00043814041524026237
F3_35,171179,171178,171178,1.0,1.0,1.0,0.9981598102559909,0.9998773206837327,0.9982824895722581,132991,171179,Flipped,chr1,F3,1.0,0.0,0.0018401897440091242
F3_36,171179,171178,171178,1.0,1.0,1.0,0.9999883162555936,0.9999883162555936,1.0,139360,171179,Flipped,chr1,F3,1.0,0.0,1.1683744406409957e-05
F3_37,171179,171178,171178,1.0,1.0,1.0,0.9999941581277968,0.9999941581277968,1.0,134335,171179,Flipped,chr1,F3,1.0,0.0,5.8418722032049786e-06
F3_38,171179,171178,171178,1.0,1.0,1.0,0.9999883162555936,0.9999883162555936,1.0,145950,171179,Flipped,chr1,F3,1.0,0.0,1.1683744406409957e-05
F3_39,171179,171178,171178,1.0,1.0,1.0,0.9999941581277968,1.0,0.9999941581277968,148568,171179,Flipped,chr1,F3,1.0,0.0,5.8418722032049786e-06
F3_40,171179,171178,171178,1.0,1.0,1.0,0.9998714788115295,0.9998773206837327,0.9999941581277968,130049,171179,Flipped,chr1,F3,1.0,0.0,0.00012852118847050953
F3_42,171179,171178,171178,1.0,1.0,1.0,0.9526808351540502,0.9999883162555936,0.9526925188984566,150834,171179,Flipped,chr1,F3,1.0,0.0,0.04731916484594978
F3_43,171179,171178,171177,0.9999941581277968,0.9999941581277968,1.0,0.9804589374802837,0.9805640911799414,0.9998948463003423,138697,171178,Flipped,chr1,F3,0.9999970790638983,-2.920936101546978e-06,0.01953522064751312
F3_44,171179,171178,171178,1.0,1.0,1.0,0.970889950811436,1.0,0.970889950811436,138860,171179,Flipped,chr1,F3,1.0,0.0,0.02911004918856397
F3_45,171179,171178,171178,1.0,1.0,1.0,0.9786654827139002,0.9999065300447487,0.9787589526691514,130947,171179,Flipped,chr1,F3,1.0,0.0,0.021334517286099808
F3_46,171179,171178,171178,1.0,1.0,1.0,0.9999824743833904,1.0,0.9999824743833904,129876,171179,Flipped,chr1,F3,1.0,0.0,1.7525616609614936e-05
F3_47,171179,171178,171178,1.0,1.0,1.0,0.9975464136746545,0.9989017280257977,0.9986446856488568,139211,171179,Flipped,chr1,F3,1.0,0.0,0.002453586325345536
F3_48,171179,171178,171178,1.0,1.0,1.0,0.9998072182172942,0.9998831625559359,0.9999240556613583,143983,171179,Flipped,chr1,F3,1.0,0.0,0.0001927817827057643
F3_52,171179,171178,171178,1.0,1.0,1.0,0.9996728551566206,1.0,0.9996728551566206,131132,171179,Flipped,chr1,F3,1.0,0.0,0.0003271448433793678
F3_53,171179,171178,171178,1.0,1.0,1.0,1.0,1.0,1.0,145168,171179,Flipped,chr1,F3,1.0,0.0,0.0
F3_54,171179,171178,171178,1.0,1.0,1.0,0.9999591068945776,1.0,0.9999591068945776,137217,171179,Flipped,chr1,F3,1.0,0.0,4.089310542243485e-05
F3_55,171179,171178,171178,1.0,1.0,1.0,0.9986154762878408,0.998621318160044,0.9986154762878408,164659,171179,Flipped,chr1,F3,1.0,0.0,0.0013845237121592469
F3_59,171179,171178,171178,1.0,1.0,1.0,0.9954374978092979,0.998621318160044,0.996816179649254,137231,171179,Flipped,chr1,F3,1.0,0.0,0.004562502190702089
F3_64,171179,171178,171178,1.0,1.0,1.0,0.9867331082265245,0.9988900442813913,0.9878430639451331,130493,171179,Flipped,chr1,F3,1.0,0.0,0.013266891773475509
F3_67,171179,171178,171178,1.0,1.0,1.0,0.9984402201217446,0.998481113227167,0.9999591068945776,147000,171179,Flipped,chr1,F3,1.0,0.0,0.0015597798782553962
F3_68,171179,171178,171178,1.0,1.0,1.0,0.9986271600322472,0.9999824743833904,0.9986446856488568,149572,171179,Flipped,chr1,F3,1.0,0.0,0.001372839967752837
F3_69,171179,171178,171178,1.0,1.0,1.0,0.9999824743833904,0.9999883162555936,0.9999941581277968,144233,171179,Flipped,chr1,F3,1.0,0.0,1.7525616609614936e-05
F3_71,171179,171178,171178,1.0,1.0,1.0,0.999970790638984,0.999970790638984,1.0,130529,171179,Flipped,chr1,F3,1.0,0.0,2.9209361016024893e-05
F3_75,171179,171178,171178,1.0,1.0,1.0,0.9970673801539918,0.9972367944478847,0.9998305857061071,137924,171179,Flipped,chr1,F3,1.0,0.0,0.002932619846008233
F3_79,171179,171178,171177,0.9999941581277968,0.9999941581277968,1.0,0.9999591068945776,0.9999766325111872,0.9999824743833904,148991,171178,Flipped,chr1,F3,0.9999970790638983,-2.920936101546978e-06,3.505123321922987e-05
F3_82,171179,171178,171178,1.0,1.0,1.0,0.9999824743833904,0.9999824743833904,1.0,135508,171179,Flipped,chr1,F3,1.0,0.0,1.7525616609614936e-05
F3_83,171179,171178,171178,1.0,1.0,1.0,0.9999883162555936,1.0,0.9999883162555936,132323,171179,Flipped,chr1,F3,1.0,0.0,1.1683744406409957e-05
F3_86,171179,171178,171178,1.0,1.0,1.0,0.9999591068945776,0.9999766325111872,0.9999824743833904,146964,171179,Flipped,chr1,F3,1.0,0.0,4.089310542243485e-05
F3_87,171179,171178,171178,1.0,1.0,1.0,0.9998130600894974,0.9998189019617006,0.9999941581277968,127351,171179,Flipped,chr1,F3,1.0,0.0,0.00018693991050255931
F3_88,171179,171178,171178,1.0,1.0,1.0,0.9999883162555936,1.0,0.9999883162555936,129707,171179,Flipped,chr1,F3,1.0,0.0,1.1683744406409957e-05
F3_91,171179,171178,171177,0.9999941581277968,1.0,0.9999941581277968,0.9999240556613583,1.0,0.9999240556613583,135088,171178,Flipped,chr1,F3,0.9999970790638983,-2.920936101546978e-06,7.010246643845974e-05
F3_95,171179,171178,171178,1.0,1.0,1.0,0.9462430919861197,0.9999883162555936,0.9462430919861197,138437,171179,Flipped,chr1,F3,1.0,0.0,0.05375690801388033
F3_96,171179,171178,171178,1.0,1.0,1.0,1.0,1.0,1.0,129129,171179,Flipped,chr1,F3,1.0,0.0,0.0
F3_98,171179,171178,171175,0.9999824743833904,0.9999824743833904,1.0,0.9039479372349251,0.9039479372349251,1.0,133390,171176,Flipped,chr1,F3,0.9999912371916952,-8.762808304862979e-06,0.09603453714846533
F3_99,171179,171178,171178,1.0,1.0,1.0,0.9997429576230591,0.9999766325111872,0.9997663251118718,127771,171179,Flipped,chr1,F3,1.0,0.0,0.00025704237694090804
F3_101,171179,171178,171178,1.0,1.0,1.0,0.9986271600322472,1.0,0.9986271600322472,140662,171179,Flipped,chr1,F3,1.0,0.0,0.001372839967752837
F3_103,171179,171178,171178,1.0,1.0,1.0,0.9999532650223744,0.9999532650223744,1.0,138055,171179,Flipped,chr1,F3,1.0,0.0,4.673497762563983e-05
F3_104,171179,171178,171178,1.0,1.0,1.0,0.9942515977520475,0.9942515977520475,1.0,133401,171179,Flipped,chr1,F3,1.0,0.0,0.005748402247952478
F3_105,171179,171178,171178,1.0,1.0,1.0,0.9999883162555936,0.9999883162555936,1.0,133246,171179,Flipped,chr1,F3,1.0,0.0,1.1683744406409957e-05
F3_107,171179,171178,171178,1.0,1.0,1.0,0.9108413464347054,0.917799016228721,0.9930423302059844,140274,171179,Flipped,chr1,F3,1.0,0.0,0.08915865356529462
F3_109,171179,171178,171178,1.0,1.0,1.0,0.9987615230929208,0.9996202783067918,0.9991412447861291,142244,171179,Flipped,chr1,F3,1.0,0.0,0.0012384769070792334
F3_112,171179,171178,171178,1.0,1.0,1.0,1.0,1.0,1.0,128334,171179,Flipped,chr1,F3,1.0,0.0,0.0
F3_113,171179,171178,171178,1.0,1.0,1.0,0.9998656369393263,0.9999941581277968,0.9998714788115295,135925,171179,Flipped,chr1,F3,1.0,0.0,0.0001343630606737145
F3_114,171179,171178,171178,1.0,1.0,1.0,0.9999941581277968,1.0,0.9999941581277968,154424,171179,Flipped,chr1,F3,1.0,0.0,5.8418722032049786e-06
F3_115,171179,171178,171178,1.0,1.0,1.0,0.999970790638984,1.0,0.999970790638984,151098,171179,Flipped,chr1,F3,1.0,0.0,2.9209361016024893e-05
F3_116,171179,171178,171178,1.0,1.0,1.0,0.9417857434950753,0.9999941581277968,0.9417915853672785,148044,171179,Flipped,chr1,F3,1.0,0.0,0.05821425650492473
F3_118,171179,171178,171178,1.0,1.0,1.0,0.9938894016754489,0.9999766325111872,0.9939127691642617,156762,171179,Flipped,chr1,F3,1.0,0.0,0.006110598324551075
F3_120,171179,171178,171178,1.0,1.0,1.0,0.9999824743833904,0.9999941581277968,0.9999883162555936,134395,171179,Flipped,chr1,F3,1.0,0.0,1.7525616609614936e-05
F3_122,171179,171178,171178,1.0,1.0,1.0,0.9939010854198553,0.9939010854198553,1.0,133368,171179,Flipped,chr1,F3,1.0,0.0,0.006098914580144665
F3_130,171179,171178,171178,1.0,1.0,1.0,0.9701305074250196,0.9998714788115295,0.97025902861349,154338,171179,Flipped,chr1,F3,1.0,0.0,0.029869492574980394
F3_131,171179,171178,171178,1.0,1.0,1.0,0.998019605323114,0.9999474231501712,0.9980721821729428,137534,171179,Flipped,chr1,F3,1.0,0.0,0.0019803946768860436
F3_132,171179,171178,171178,1.0,1.0,1.0,0.9999766325111872,0.9999941581277968,0.9999824743833904,148749,171179,Flipped,chr1,F3,1.0,0.0,2.3367488812819914e-05
F3_133,171179,171178,171178,1.0,1.0,1.0,0.9986037925434343,1.0,0.9986037925434343,155406,171179,Flipped,chr1,F3,1.0,0.0,0.0013962074565656568
F3_134,171179,171178,171178,1.0,1.0,1.0,0.999970790638984,0.999970790638984,1.0,135891,171179,Flipped,chr1,F3,1.0,0.0,2.9209361016024893e-05
F3_139,171179,171178,171178,1.0,1.0,1.0,1.0,1.0,1.0,140057,171179,Flipped,chr1,F3,1.0,0.0,0.0
F3_143,171179,171178,171178,1.0,1.0,1.0,0.9986037925434343,0.9986154762878408,0.9999883162555936,139208,171179,Flipped,chr1,F3,1.0,0.0,0.0013962074565656568
F3_145,171179,171178,171178,1.0,1.0,1.0,0.9999883162555936,1.0,0.9999883162555936,139305,171179,Flipped,chr1,F3,1.0,0.0,1.1683744406409957e-05
F3_146,171179,171178,171178,1.0,1.0,1.0,0.9563378471532556,0.9563378471532556,1.0,146796,171179,Flipped,chr1,F3,1.0,0.0,0.04366215284674435
F3_148,171179,171178,171175,0.9999824743833904,1.0,0.9999824743833904,0.8801832011122924,0.9997487994952623,0.8804344016170302,136532,171176,Flipped,chr1,F3,0.9999912371916952,-8.762808304862979e-06,0.11979927327109796
F3_149,171179,171178,171178,1.0,1.0,1.0,0.9985745831824183,0.9999591068945776,0.9986154762878408,129784,171179,Flipped,chr1,F3,1.0,0.0,0.0014254168175816817
F3_150,171179,171178,171178,1.0,1.0,1.0,0.96635665798175,0.96635665798175,1.0,133911,171179,Flipped,chr1,F3,1.0,0.0,0.03364334201825003
F3_151,171179,171178,171178,1.0,1.0,1.0,0.9999766325111872,0.9999824743833904,0.9999941581277968,149704,171179,Flipped,chr1,F3,1.0,0.0,2.3367488812819914e-05
F3_152,171179,171178,171175,0.9999824743833904,1.0,0.9999824743833904,0.9039479372349251,1.0,0.9039479372349251,136262,171176,Flipped,chr1,F3,0.9999912371916952,-8.762808304862979e-06,0.09603453714846533
F3_154,171179,171178,171178,1.0,1.0,1.0,1.0,1.0,1.0,136514,171179,Flipped,chr1,F3,1.0,0.0,0.0
F3_160,171179,171178,171178,1.0,1.0,1.0,0.9980721821729428,0.9980721821729428,1.0,147170,171179,Flipped,chr1,F3,1.0,0.0,0.0019278178270571988
F3_161,171179,171178,171178,1.0,1.0,1.0,0.9999941581277968,0.9999941581277968,1.0,140650,171179,Flipped,chr1,F3,1.0,0.0,5.8418722032049786e-06
F3_162,171179,171178,171178,1.0,1.0,1.0,0.9999006881725455,1.0,0.9999006881725455,142858,171179,Flipped,chr1,F3,1.0,0.0,9.931182745448464e-05
F3_163,171179,171178,171178,1.0,1.0,1.0,0.9998072182172942,1.0,0.9998072182172942,140011,171179,Flipped,chr1,F3,1.0,0.0,0.0001927817827057643
F3_164,171179,171178,171178,1.0,1.0,1.0,0.9592763088714671,0.9669642126908832,0.9923120961805839,135496,171179,Flipped,chr1,F3,1.0,0.0,0.04072369112853291
F3_165,171179,171178,171178,1.0,1.0,1.0,0.9985862669268247,0.9985921087990279,0.9999883162555936,145463,171179,Flipped,chr1,F3,1.0,0.0,0.0014137330731752717
F3_166,171179,171178,171178,1.0,1.0,1.0,0.9916402808772156,1.0,0.9916402808772156,131575,171179,Flipped,chr1,F3,1.0,0.0,0.008359719122784437
F3_167,171179,171178,171178,1.0,1.0,1.0,0.9999941581277968,0.9999941581277968,1.0,135818,171179,Flipped,chr1,F3,1.0,0.0,5.8418722032049786e-06
F3_168,171179,171178,171178,1.0,1.0,1.0,1.0,1.0,1.0,140108,171179,Flipped,chr1,F3,1.0,0.0,0.0
F3_170,171179,171178,171178,1.0,1.0,1.0,1.0,1.0,1.0,142471,171179,Flipped,chr1,F3,1.0,0.0,0.0
F3_171,171179,171178,171178,1.0,1.0,1.0,0.9999883162555936,0.9999883162555936,1.0,140512,171179,Flipped,chr1,F3,1.0,0.0,1.1683744406409957e-05
F3_172,171179,171178,171178,1.0,1.0,1.0,0.9998773206837327,0.9998948463003423,0.9999824743833904,159945,171179,Flipped,chr1,F3,1.0,0.0,0.00012267931626730455
F3_175,171179,171178,171178,1.0,1.0,1.0,0.9999941581277968,0.9999941581277968,1.0,131777,171179,Flipped,chr1,F3,1.0,0.0,5.8418722032049786e-06
F3_176,171179,171178,171178,1.0,1.0,1.0,0.9949701480330416,0.9998890044281391,0.9950811436049025,130471,171179,Flipped,chr1,F3,1.0,0.0,0.005029851966958376
F3_181,171179,171178,171175,0.9999824743833904,1.0,0.9999824743833904,0.9038836766406898,0.9999357394057647,0.9039479372349251,128990,171176,Flipped,chr1,F3,0.9999912371916952,-8.762808304862979e-06,0.09609879774270058
F3_185,171179,171178,171178,1.0,1.0,1.0,0.9999883162555936,0.9999883162555936,1.0,161077,171179,Flipped,chr1,F3,1.0,0.0,1.1683744406409957e-05
F3_186,171179,171178,171178,1.0,1.0,1.0,0.9986154762878408,0.998621318160044,0.9999941581277968,134867,171179,Flipped,chr1,F3,1.0,0.0,0.0013845237121592469
F3_190,171179,171178,171178,1.0,1.0,1.0,0.9999006881725455,0.9999941581277968,0.9999065300447487,136465,171179,Flipped,chr1,F3,1.0,0.0,9.931182745448464e-05
F3_193,171179,171178,171178,1.0,1.0,1.0,0.9977684048183761,1.0,0.9977684048183761,126832,171179,Flipped,chr1,F3,1.0,0.0,0.0022315951816238577
F3_194,171179,171178,171178,1.0,1.0,1.0,0.9999941581277968,1.0,0.9999941581277968,126756,171179,Flipped,chr1,F3,1.0,0.0,5.8418722032049786e-06
F3_195,171179,171178,171175,0.9999824743833904,0.9999824743833904,1.0,0.9039479372349251,0.9039479372349251,1.0,143332,171176,Flipped,chr1,F3,0.9999912371916952,-8.762808304862979e-06,0.09603453714846533
F3_196,171179,171178,171178,1.0,1.0,1.0,0.9999883162555936,0.9999883162555936,1.0,153582,171179,Flipped,chr1,F3,1.0,0.0,1.1683744406409957e-05
F3_197,171179,171178,171178,1.0,1.0,1.0,0.9969622264543341,0.9999941581277968,0.9969680683265373,137320,171179,Flipped,chr1,F3,1.0,0.0,0.0030377735456659227
